Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.translationXerror,SU.translationYerror,M1.translationXerror,M1.translationYerror,M1.rotationXerror,M1.rotationYerror,M2.translationXerror,M2.translationYerror,M2.rotationXerror,M2.rotationYerror,PG.translationXerror,PG.translationYerror,PG.rotationXerror,PG.rotationYerror,M3.translationXerror,M3.translationYerror,M3.rotationXerror,M3.rotationYerror,M4.translationXerror,M4.translationYerror,M4.rotationXerror,M4.rotationYerror,M5.translationXerror,M5.translationYerror,M5.rotationXerror,M5.rotationYerror
0,2.25,0.01,100,1,300000.0,-0.015988651061499996,0.016235859260695817,-0.009657856699973977,0.022109941341982346,-0.0014253679784716443,-0.0037453804597747577,0.02562889403644003,-0.0015604994280747249,-0.002774982776068935,-0.0004288751189932584,0.00695691290515444,-0.02512257324657216,-0.002054168337599832,-0.003110960263638095,-0.02229262519603132,-0.024156467189490702,0.0016046682669095622,0.0008591746151118572,0.028760175394255176,-0.017033803016734423,0.0038210540241050478,-0.002683940325271589,-0.011406007037272799,-0.007546956247331128,0.001964279147143623,0.000138458468667408
1,2.25,0.01,100,1,300000.0,-0.006178588963978774,0.018367682958370525,0.006483238571723525,-0.02755160830619819,-0.003953414624199895,-0.004925964816123861,0.0019281816938382657,-0.019689833516517177,-0.0015506438040000835,-0.0037905177474397735,-0.005102299686429258,-0.028707061039377993,0.0010456498322694565,0.0007465273877943204,-0.014410649900484906,0.01758405649865312,0.0002804234770178273,-0.003923725852923646,-2.987613366778677e-05,0.017439293437140624,-0.0001719500971529113,-0.00041987564383452747,0.01965121080403181,-0.0020377080341044823,0.002459757116332446,-0.003970127852954906
2,2.25,0.01,100,1,300000.0,-0.02798885973324245,-0.00621942478406615,-0.027573330996701582,-0.021227616487195247,-0.0007672042163938417,0.004396602561054221,-0.015912020303018824,0.026083464698252352,-0.002853804062491948,0.004072277290361334,0.01278357049396997,0.021722436433961073,0.0017429538815878012,-0.004903977842393404,0.02567281090265157,-0.024274054730800854,-0.0029285312385078743,-0.004540957891021731,0.019133917140252206,-0.012949473916048278,0.0042194595915280115,0.0037513578992538566,0.010745812344275595,0.014239347896814948,0.0043048409979560285,-0.0017395986804655175
3,2.25,0.01,100,1,300000.0,-0.01653269514521815,0.02245334656643591,-0.024442079255498936,0.012374919336283645,0.0040959714310725885,4.659747740111929e-05,0.0021868484708397473,-0.020185652085503908,-0.0002372354728698142,0.004980478653047152,0.010294839879609954,0.02722361403988669,0.0008380827902812939,0.00410004828119646,0.021441428163948423,0.026850266969189074,0.003418653756556123,0.003359551557271418,0.016306504475923606,0.022232378504225075,0.0015467777636597587,-0.0036334085438574247,-0.00518250390818456,0.02889564419223198,0.0021395413659212117,-0.00021414620929980244
4,2.25,0.01,100,1,300000.0,-0.013191640713982648,0.012636734108732547,0.02511829736119748,0.026492401719906508,-0.002395830332261819,-0.00021569298137984107,0.027348251121645344,-0.014284174388583832,-0.003217937278763613,-0.0010145328050630157,-0.018432464870676943,-0.027004765010412147,-0.0031803552099561707,-0.0017265586931767408,0.009131073054961941,-0.008262079141668075,0.004444567137128474,-9.244454415589277e-05,0.004843687803900751,-0.029515504106829498,-0.0036554496533516036,0.0015583443173971812,0.0026803976206438707,0.022659982105959882,-0.002971617344587898,0.00269834154144022
5,2.25,0.01,100,1,300000.0,-0.005518172599437779,-0.0038081550330896115,-0.017205120777454473,0.02771291414729598,0.0017003950931511972,0.004313132786538045,-0.01707504667744597,-0.010251621802029407,-0.003750926418467284,0.004696985043642145,0.026637461661681343,0.013283761428623045,-0.0034201837712692284,0.0024991247667169895,0.011240447774182503,-0.019559253734070636,-0.0016403450809180753,0.004880346967702822,-0.018373384298640945,0.008162557635207526,-0.001768197016599885,0.00035632860110955747,-0.004313896245467585,-0.025277394418790476,-0.0028001833657604947,-0.002949440507132661
6,2.25,0.01,100,1,300000.0,-0.0020058176286460658,0.02349486031957959,0.014326287676130874,0.00622666556519192,-0.00390726255225368,-0.00321270479467023,0.000891254489263079,-0.007682239136947849,0.0019803306462012806,0.0016474276673212294,-0.012764154006074238,-0.013944749270941189,0.0013941562978457686,0.0019494169745087131,-0.015996562927849775,-0.01692440138772576,-0.002397218363623148,-0.0013951824530360878,0.00747219001282004,0.021939085075512753,-0.002896453390798601,-0.004925034411997419,0.01305297135843917,-0.00037763709225323294,0.004066539270389629,-0.004586677051952377
7,2.25,0.01,100,1,300000.0,0.026209019496435025,-0.009682181416736012,-0.023998962046520543,0.017061782183236944,0.0011788395332452753,-0.003077541657300906,0.025610384201486654,0.011958695923510003,0.003156759890853977,-0.0035263395735167704,-0.00804152965011604,-0.013075401647006771,-0.004840458777187744,0.0016056293595578912,0.010003742751415433,0.003662727829394176,-0.00046406840130711145,0.004872791789182662,-0.027381036105482717,-0.02140780774744563,-9.230611662033525e-05,-0.001437921119993886,-0.002360090505798322,0.00783720244499686,0.0010445260643084696,-0.0012118451080610159
8,2.25,0.01,100,1,300000.0,0.02130712391584453,-0.01690820349745259,-0.022177625711144372,-0.023598452310045964,0.0019062130305314475,-0.0015891657426946072,0.01239348794620223,0.00021171305768225013,0.0037246257574240276,-0.003890196800313329,-0.021980128544161086,0.01631665383808016,-0.0034761122806615985,0.0018431509715620409,0.02973464893334795,0.00912691068529975,0.004131973787392052,-0.00245050828329251,-0.010642337262969398,0.02570640969949381,-3.6181527582446193e-05,0.002891148967284404,0.02550539457910858,-0.0017540544530671616,0.002979822088588037,-0.0011071716735055357
9,2.25,0.01,100,1,300000.0,-0.0016588295068186987,-0.01731702848065081,0.013588740627289708,-0.0036720643228859047,0.0033582054067641228,-0.0010937594243877148,0.012814596881973929,-0.005204668531930055,0.0020326387726614693,-0.00022157290888255316,-0.026337261216917953,0.005083909296906067,0.003070912722902732,-0.00035831755862027713,-0.013387050516460379,0.028447791447783734,0.0014444553875880154,0.004487705122864922,-0.020952298598748642,0.027376441593917,0.003566167631577394,-0.0031283371839609412,0.0016968627996417351,-0.006156273699025765,0.0012142753934508543,-0.0034491837369545085
