,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.01,200,2.25,1,100000.0,0.01715,0.00243,5.72,5368410000000.0,4.2,0.004200000000000001,225473220.0,0.009604549690136735,0.09674282291549953,0.0032140000634605904
1,1,0.01,200,2.25,1,100000.0,0.01651,0.00522,5.51,,,,,,,
2,2,0.01,200,2.25,1,100000.0,0.01414,0.01,4.71,5368410000000.0,3.8,0.0038,203999580.0,0.009972590718120351,0.08838988843421641,0.004625522781339443
3,3,0.01,200,2.25,1,100000.0,0.01309,0.01134,4.36,5368410000000.0,4.8,0.0048,257683680.0,0.013496097250849536,0.09344287642680812,0.004366257947468984
4,4,0.01,200,2.25,1,100000.0,0.01225,0.01225,4.08,5368410000000.0,3.6,0.0036,193262760.0,0.010643984101568575,0.10173090502253176,0.0026400906216080587
5,5,0.01,210,2.25,1,100000.0,0.01715,0.00243,5.72,5442440000000.0,4.2,0.0042,228582480.0,0.010243338330463456,0.09153036804553709,0.002033557513783284
6,6,0.01,210,2.25,1,100000.0,0.01651,0.00522,5.51,,,,,,,
7,7,0.01,210,2.25,1,100000.0,0.01414,0.01,4.71,5442440000000.0,4.4,0.0044,239467360.0,0.008521784625989171,0.07472315720418174,0.00287313504046388
8,8,0.01,210,2.25,1,100000.0,0.01309,0.01134,4.36,,,,,,,
9,9,0.01,210,2.25,1,100000.0,0.01225,0.01225,4.08,,,,,,,
10,10,0.01,220,2.25,1,100000.0,0.01715,0.00243,5.72,,,,,,,
11,11,0.01,220,2.25,1,100000.0,0.01651,0.00522,5.51,5513500000000.0,4.8,0.0048,264648000.0,0.013824661724838925,0.1256429150115678,0.0027554400338915585
