,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.01,200,2.25,1,100000.0,0.01715,0.00243,5.72,1073682000000.0,0.84,0.0008400000000000001,45094644.0,0.0019209099380273467,0.019348564583099907,0.0006428000126921181
1,1,0.01,200,2.25,1,100000.0,0.01651,0.00522,5.51,,,,,,,
2,2,0.01,200,2.25,1,100000.0,0.01414,0.01,4.71,1073682000000.0,0.76,0.00076,40799916.0,0.0019945181436240703,0.01767797768684328,0.0009251045562678884
3,3,0.01,200,2.25,1,100000.0,0.01309,0.01134,4.36,1073682000000.0,0.96,0.00096,51536736.0,0.0026992194501699075,0.018688575285361626,0.000873251589493797
4,4,0.01,200,2.25,1,100000.0,0.01225,0.01225,4.08,1073682000000.0,0.72,0.0007199999999999999,38652552.0,0.002128796820313715,0.02034618100450635,0.0005280181243216117
5,5,0.01,210,2.25,1,100000.0,0.01715,0.00243,5.72,1088488000000.0,0.84,0.0008399999999999998,45716496.0,0.002048667666092691,0.018306073609107416,0.00040671150275665687
6,6,0.01,210,2.25,1,100000.0,0.01651,0.00522,5.51,,,,,,,
7,7,0.01,210,2.25,1,100000.0,0.01414,0.01,4.71,1088488000000.0,0.8800000000000001,0.00088,47893472.0,0.0017043569251978343,0.014944631440836348,0.000574627008092776
8,8,0.01,210,2.25,1,100000.0,0.01309,0.01134,4.36,,,,,,,
9,9,0.01,210,2.25,1,100000.0,0.01225,0.01225,4.08,,,,,,,
10,10,0.01,220,2.25,1,100000.0,0.01715,0.00243,5.72,,,,,,,
11,11,0.01,220,2.25,1,100000.0,0.01651,0.00522,5.51,1102700000000.0,0.96,0.00096,52929600.0,0.002764932344967785,0.02512858300231356,0.0005510880067783117
12,12,0.01,220,2.25,1,100000.0,0.01414,0.01,4.71,1102700000000.0,0.96,0.00096,52929600.0,0.0021794248375150366,0.01972574346142011,0.00043429568578079935
13,13,0.01,220,2.25,1,100000.0,0.01309,0.01134,4.36,1102700000000.0,0.84,0.0008400000000000001,46313400.0,0.003005625797154008,0.011210289973822014,0.00046395780810948577
14,14,0.01,220,2.25,1,100000.0,0.01225,0.01225,4.08,1102700000000.0,0.64,0.00064,35286400.0,0.00247164978142838,0.017767043434764703,0.0005826160471018753
15,15,0.01,230,2.25,1,100000.0,0.01715,0.00243,5.72,1116366000000.0,1.0,0.001,55818300.0,0.0018760083384674348,0.01746579961344512,0.0007362796634340253
16,16,0.01,230,2.25,1,100000.0,0.01651,0.00522,5.51,,,,,,,
17,17,0.01,230,2.25,1,100000.0,0.01414,0.01,4.71,1116366000000.0,1.1199999999999999,0.00112,62516496.0,0.0023523785224673,0.02033360549253385,0.0008805942665886683
18,18,0.01,230,2.25,1,100000.0,0.01309,0.01134,4.36,1116366000000.0,1.04,0.00104,58051032.0,0.0022218246838314566,0.020834465527990835,0.0006033618440790124
19,19,0.01,230,2.25,1,100000.0,0.01225,0.01225,4.08,1116366000000.0,0.96,0.00096,53585568.0,0.0026510958119099126,0.02263420004643666,0.0005037348893614758
20,20,0.01,240,2.25,1,100000.0,0.01715,0.00243,5.72,1129522000000.0,0.84,0.0008399999999999998,47439924.0,0.0023308252852777497,0.015688901672470397,0.0005697647222920377
21,21,0.01,240,2.25,1,100000.0,0.01651,0.00522,5.51,1129522000000.0,0.8,0.0008,45180880.0,0.0021964561645951126,0.015823005540744655,0.0007125315803389357
22,22,0.01,240,2.25,1,100000.0,0.01414,0.01,4.71,,,,,,,
23,23,0.01,240,2.25,1,100000.0,0.01309,0.01134,4.36,1129522000000.0,1.2,0.0012,67771320.0,0.0026876916729764466,0.022101165279774272,0.0007660469467386989
24,24,0.01,240,2.25,1,100000.0,0.01225,0.01225,4.08,1129522000000.0,1.1199999999999999,0.00112,63253232.0,0.002799601718425444,0.01859752929332588,0.0007839614057910007
25,25,0.01,250,2.25,1,100000.0,0.01715,0.00243,5.72,1142206000000.0,1.1199999999999999,0.00112,63963536.0,0.0033176521216338106,0.024746554233867415,0.0007341278966955693
26,26,0.01,250,2.25,1,100000.0,0.01651,0.00522,5.51,1142206000000.0,1.1199999999999999,0.00112,63963536.0,0.003776844166904997,0.020730582710963875,0.0004835451080552512
27,27,0.01,250,2.25,1,100000.0,0.01414,0.01,4.71,1142206000000.0,1.04,0.00104,59394712.0,0.002686917084841512,0.01811921481420167,0.00074709110880763
28,28,0.01,250,2.25,1,100000.0,0.01309,0.01134,4.36,1142206000000.0,1.16,0.00116,66247948.0,0.0027025058506480403,0.027801411379314345,0.0007021442298019728
29,29,0.01,250,2.25,1,100000.0,0.01225,0.01225,4.08,1142206000000.0,1.52,0.00152,86807656.0,0.00326179598240658,0.020758285790481296,0.0006890797833502929
30,30,0.01,260,2.25,1,100000.0,0.01715,0.00243,5.72,1154446000000.0,1.52,0.00152,87737896.0,0.0037611128816140193,0.022225885313760383,0.0006903058533278743
31,31,0.01,260,2.25,1,100000.0,0.01651,0.00522,5.51,1154446000000.0,1.44,0.00144,83120112.0,0.0027964225940964186,0.0181713539871168,0.0005659807389735486
32,32,0.01,260,2.25,1,100000.0,0.01414,0.01,4.71,1154446000000.0,1.0,0.0009999999999999998,57722300.0,0.0033495799049267838,0.022786761385672087,0.0005226897699940429
33,33,0.01,260,2.25,1,100000.0,0.01309,0.01134,4.36,1154446000000.0,0.84,0.0008400000000000001,48486732.0,0.0026628316884882213,0.01729311581880647,0.0006588505084318857
34,34,0.01,260,2.25,1,100000.0,0.01225,0.01225,4.08,1154446000000.0,1.6,0.0016000000000000003,92355680.0,0.0028065877718719537,0.02386857354255692,0.0005300608907094157
35,35,0.01,270,2.25,1,100000.0,0.01715,0.00243,5.72,1166272000000.0,0.84,0.0008399999999999998,48983424.0,0.0015179614363803272,0.015852143565208913,0.000365544220786894
36,36,0.01,270,2.25,1,100000.0,0.01651,0.00522,5.51,1166272000000.0,1.3199999999999998,0.00132,76973952.0,0.0035269513053481734,0.019023428906425256,0.0005267547075695681
37,37,0.01,270,2.25,1,100000.0,0.01414,0.01,4.71,1166272000000.0,1.3199999999999998,0.00132,76973952.0,0.00313915954795405,0.022720542153469758,0.0007530196969810356
38,38,0.01,270,2.25,1,100000.0,0.01309,0.01134,4.36,1166272000000.0,1.08,0.0010800000000000002,62978688.0,0.0030146533865493697,0.016212103087321638,0.0005344717816508005
39,39,0.01,270,2.25,1,100000.0,0.01225,0.01225,4.08,1166272000000.0,0.92,0.00092,53648512.0,0.003675527926023344,0.02004644339896284,0.000510448808014152
40,40,0.01,280,2.25,1,100000.0,0.01715,0.00243,5.72,1177710000000.0,1.4,0.0014000000000000002,82439700.0,0.0037652467360346385,0.0199483814807575,0.0005341572497597621
41,41,0.01,280,2.25,1,100000.0,0.01651,0.00522,5.51,1177710000000.0,1.24,0.0012400000000000002,73018020.0,0.0032351604524496935,0.02289277629410432,0.0005569001331218623
42,42,0.01,280,2.25,1,100000.0,0.01414,0.01,4.71,1177710000000.0,1.92,0.00192,113060160.0,0.002964739188847101,0.022162685053520644,0.0006665816978609883
43,43,0.01,280,2.25,1,100000.0,0.01309,0.01134,4.36,1177710000000.0,1.44,0.0014399999999999999,84795120.0,0.0028760141953972787,0.027354671854194407,0.0005109348235254269
44,44,0.01,280,2.25,1,100000.0,0.01225,0.01225,4.08,1177710000000.0,1.52,0.00152,89505960.0,0.0038295113987871984,0.023085745145658303,0.0006823640198667625
45,45,0.01,290,2.25,1,100000.0,0.01715,0.00243,5.72,1188782000000.0,1.56,0.00156,92724996.0,0.003331552446796928,0.01915798602231293,0.0005682316691006638
46,46,0.01,290,2.25,1,100000.0,0.01651,0.00522,5.51,1188782000000.0,1.3199999999999998,0.00132,78459612.0,0.003324105391214218,0.015923941271194453,0.0006595715670697678
47,47,0.01,290,2.25,1,100000.0,0.01414,0.01,4.71,1188782000000.0,1.08,0.00108,64194228.0,0.0031238026414937728,0.022450565277184687,0.000610582576172922
48,48,0.01,290,2.25,1,100000.0,0.01309,0.01134,4.36,1188782000000.0,1.08,0.00108,64194228.0,0.0031073800754381187,0.022381461521972873,0.0005933791336823734
49,49,0.01,290,2.25,1,100000.0,0.01225,0.01225,4.08,1188782000000.0,1.3599999999999999,0.00136,80837176.0,0.0030976282051267123,0.027350713060763743,0.0006181877172708747
50,50,0.01,300,2.25,1,100000.0,0.01715,0.00243,5.72,1199508000000.0,1.04,0.00104,62374416.0,0.003866188615064079,0.0149655137082552,0.0006619078878678249
51,51,0.01,300,2.25,1,100000.0,0.01651,0.00522,5.51,1199508000000.0,1.44,0.00144,86364576.0,0.0042309574150866175,0.01717082625540673,0.0006843072953851201
52,52,0.01,300,2.25,1,100000.0,0.01414,0.01,4.71,1199508000000.0,0.96,0.00096,57576384.0,0.0033251018030860838,0.015538858626852897,0.0006498576466054439
53,53,0.01,300,2.25,1,100000.0,0.01309,0.01134,4.36,1199508000000.0,1.44,0.0014399999999999999,86364576.0,0.0032914279693551764,0.019513226863863312,0.0004404266367682337
54,54,0.01,300,2.25,1,100000.0,0.01225,0.01225,4.08,1199508000000.0,1.04,0.00104,62374416.0,0.0037598394036203056,0.018822710987678012,0.0005477585998229925
55,55,0.01,310,2.25,1,100000.0,0.01715,0.00243,5.72,1209908000000.0,1.44,0.00144,87113376.0,0.003778762358870963,0.024943516115459023,0.0006225447547337307
56,56,0.01,310,2.25,1,100000.0,0.01651,0.00522,5.51,1209908000000.0,1.4,0.0014000000000000002,84693560.0,0.00319692049807212,0.016023752168064995,0.0006214874312722206
57,57,0.01,310,2.25,1,100000.0,0.01414,0.01,4.71,1209908000000.0,1.64,0.00164,99212456.0,0.003615962302605613,0.019667779984969377,0.0007539492750016535
58,58,0.01,310,2.25,1,100000.0,0.01309,0.01134,4.36,1209908000000.0,1.64,0.00164,99212456.0,0.003818868868197305,0.02281760205951599,0.0007337170591234535
59,59,0.01,310,2.25,1,100000.0,0.01225,0.01225,4.08,1209908000000.0,1.52,0.00152,91953008.0,0.0028090784428964183,0.02381832735033255,0.0006993233334867193
60,60,0.01,320,2.25,1,100000.0,0.01715,0.00243,5.72,1220000000000.0,1.56,0.00156,95160000.0,0.00490046589704704,0.023551266557865665,0.0004993424172748652
61,61,0.01,320,2.25,1,100000.0,0.01651,0.00522,5.51,1220000000000.0,1.3199999999999998,0.00132,80520000.0,0.003600732243067698,0.018696874211747445,0.0006256787113912603
62,62,0.01,320,2.25,1,100000.0,0.01414,0.01,4.71,1220000000000.0,1.8,0.0018,109800000.0,0.005197429436557971,0.017384529817561552,0.00048280784570969094
63,63,0.01,320,2.25,1,100000.0,0.01309,0.01134,4.36,,,,,,,
64,64,0.01,320,2.25,1,100000.0,0.01225,0.01225,4.08,1220000000000.0,2.0,0.002,122000000.0,0.004638306355490705,0.019594189676818825,0.0007221201429800253
65,65,0.01,330,2.25,1,100000.0,0.01715,0.00243,5.72,1229800000000.0,1.52,0.00152,93464800.0,0.004449995893108993,0.019966216271161626,0.0007100729940973064
66,66,0.01,330,2.25,1,100000.0,0.01651,0.00522,5.51,1229800000000.0,1.28,0.00128,78707200.0,0.004022984948812126,0.025216621268289528,0.0007844647652653146
67,67,0.01,330,2.25,1,100000.0,0.01414,0.01,4.71,1229800000000.0,1.24,0.00124,76247600.0,0.003157818382602413,0.020633638862977435,0.0005321479989720842
68,68,0.01,330,2.25,1,100000.0,0.01309,0.01134,4.36,1229800000000.0,1.8,0.0018,110682000.0,0.004170389822508168,0.025313158623107467,0.0006743190071142062
69,69,0.01,330,2.25,1,100000.0,0.01225,0.01225,4.08,1229800000000.0,1.68,0.0016800000000000003,103303200.0,0.003956430642103531,0.02682563066349124,0.0005432166266976973
70,70,0.01,340,2.25,1,100000.0,0.01715,0.00243,5.72,1239322000000.0,1.7600000000000002,0.0017599999999999998,109060336.0,0.0045251033208325115,0.022198822422208418,0.0006265030554763182
71,71,0.01,340,2.25,1,100000.0,0.01651,0.00522,5.51,1239322000000.0,1.92,0.00192,118974912.0,0.0037318563488794713,0.023411309835592288,0.0006746939477891216
72,72,0.01,340,2.25,1,100000.0,0.01414,0.01,4.71,1239322000000.0,1.3199999999999998,0.00132,81795252.0,0.004853976867849865,0.02076840343238364,0.0007470208608309786
73,73,0.01,340,2.25,1,100000.0,0.01309,0.01134,4.36,1239322000000.0,1.52,0.00152,94188472.0,0.004432099495382571,0.02068737971164289,0.0005124661092893247
74,74,0.01,340,2.25,1,100000.0,0.01225,0.01225,4.08,1239322000000.0,2.04,0.00204,126410844.00000001,0.004451107307897312,0.0274122763224352,0.0006743538848625105
75,75,0.01,350,2.25,1,100000.0,0.01715,0.00243,5.72,1248578000000.0,2.28,0.00228,142337892.0,0.004900023466249183,0.024767076176669078,0.0006184777724990412
76,76,0.01,350,2.25,1,100000.0,0.01651,0.00522,5.51,1248578000000.0,2.08,0.00208,129852112.0,0.005206694803161684,0.027145123165985913,0.0006358561936503335
77,77,0.01,350,2.25,1,100000.0,0.01414,0.01,4.71,1248578000000.0,2.04,0.00204,127354956.0,0.004542645810071721,0.02674604403057374,0.00070347182180924
78,78,0.01,350,2.25,1,100000.0,0.01309,0.01134,4.36,1248578000000.0,2.2,0.0022,137343580.0,0.004310817175179147,0.02614511454505304,0.0005823255866021675
79,79,0.01,350,2.25,1,100000.0,0.01225,0.01225,4.08,1248578000000.0,2.24,0.00224,139840736.0,0.00427935304849354,0.02428557260790363,0.0006094948866073997
80,80,0.01,360,2.25,1,100000.0,0.01715,0.00243,5.72,1257584000000.0,2.12,0.00212,133303904.0,0.004970622439996027,0.025350015971057446,0.000720073280160882
81,81,0.01,360,2.25,1,100000.0,0.01651,0.00522,5.51,1257584000000.0,2.0,0.002,125758400.0,0.0044866038226088634,0.022471426634679294,0.0006661481894438279
82,82,0.01,360,2.25,1,100000.0,0.01414,0.01,4.71,1257584000000.0,2.12,0.00212,133303904.0,0.004742246200790271,0.026596016844598256,0.0006831169702566366
83,83,0.01,360,2.25,1,100000.0,0.01309,0.01134,4.36,1257584000000.0,1.92,0.00192,120728064.0,0.0043834455124054286,0.017874116274062265,0.0005267252113271473
84,84,0.01,360,2.25,1,100000.0,0.01225,0.01225,4.08,1257584000000.0,1.88,0.0018800000000000004,118212896.0,0.005637932247442815,0.03068189363988948,0.000686445739518061
85,85,0.01,370,2.25,1,100000.0,0.01715,0.00243,5.72,1266348000000.0,1.92,0.00192,121569408.0,0.004556704005927654,0.019621112802797647,0.0006631767051149273
86,86,0.01,370,2.25,1,100000.0,0.01651,0.00522,5.51,1266348000000.0,2.08,0.00208,131700192.0,0.004572112145968338,0.023461335834096327,0.0004907440560513148
87,87,0.01,370,2.25,1,100000.0,0.01414,0.01,4.71,1266348000000.0,2.32,0.00232,146896368.0,0.004567575727189095,0.021282542349517528,0.000655238433253885
88,88,0.01,370,2.25,1,100000.0,0.01309,0.01134,4.36,1266348000000.0,2.12,0.0021200000000000004,134232888.0,0.005174419640817949,0.01751912816466763,0.0006701932736969757
89,89,0.01,370,2.25,1,100000.0,0.01225,0.01225,4.08,1266348000000.0,2.48,0.0024799999999999996,157027152.0,0.0050682919158603675,0.024695408599291736,0.0006183270149391971
90,90,0.01,380,2.25,1,100000.0,0.01715,0.00243,5.72,1274884000000.0,1.88,0.00188,119839096.0,0.00456245975223492,0.01966020591205634,0.0005249913989437122
91,91,0.01,380,2.25,1,100000.0,0.01651,0.00522,5.51,1274884000000.0,2.16,0.00216,137687472.0,0.004298211891626945,0.023031637329090648,0.0006518102434009932
92,92,0.01,380,2.25,1,100000.0,0.01414,0.01,4.71,1274884000000.0,1.96,0.00196,124938632.0,0.0051427811378802245,0.02183088124385838,0.0006641314319031223
93,93,0.01,380,2.25,1,100000.0,0.01309,0.01134,4.36,1274884000000.0,2.24,0.00224,142787008.0,0.004690988180102806,0.01988577675952748,0.0007328774157461577
94,94,0.01,380,2.25,1,100000.0,0.01225,0.01225,4.08,1274884000000.0,2.16,0.00216,137687472.0,0.004209554180250577,0.022328586213377032,0.0006294937314833073
95,95,0.01,390,2.25,1,100000.0,0.01715,0.00243,5.72,1283200000000.0,2.4,0.0024,153984000.0,0.005126645659834924,0.026623159752622645,0.0006513807105937771
96,96,0.01,390,2.25,1,100000.0,0.01651,0.00522,5.51,1283200000000.0,2.48,0.00248,159116800.0,0.005504399190653256,0.023180266809594015,0.0006731613897349466
97,97,0.01,390,2.25,1,100000.0,0.01414,0.01,4.71,1283200000000.0,2.24,0.00224,143718400.00000003,0.0041767441042663295,0.023758075845904385,0.0005888315975899096
98,98,0.01,390,2.25,1,100000.0,0.01309,0.01134,4.36,1283200000000.0,2.08,0.0020800000000000007,133452800.0,0.0053801702535408655,0.022149466703866826,0.000686031387461277
99,99,0.01,390,2.25,1,100000.0,0.01225,0.01225,4.08,1283200000000.0,2.4,0.0024,153984000.0,0.006436274474304479,0.02447271512972276,0.0006542073323818655
100,100,0.01,400,2.25,1,100000.0,0.01715,0.00243,5.72,1291306000000.0,2.48,0.00248,160121944.0,0.004306768527812725,0.026344826448735016,0.0005557766017416926
101,101,0.01,400,2.25,1,100000.0,0.01651,0.00522,5.51,1291306000000.0,2.4,0.0024,154956720.0,0.005013074190084521,0.024337545530394904,0.0007087269592731577
102,102,0.01,400,2.25,1,100000.0,0.01414,0.01,4.71,1291306000000.0,2.76,0.0027600000000000003,178200228.0,0.006186922412759562,0.02492237963459,0.0006355922480869643
103,103,0.01,400,2.25,1,100000.0,0.01309,0.01134,4.36,1291306000000.0,2.3600000000000003,0.00236,152374108.0,0.005213952831377857,0.023065250111432994,0.0005758800758593857
104,104,0.01,400,2.25,1,100000.0,0.01225,0.01225,4.08,1291306000000.0,2.52,0.00252,162704556.0,0.006018978705974216,0.024596759522912275,0.0005860368401881278
105,105,0.01,410,2.25,1,100000.0,0.01715,0.00243,5.72,1299212000000.0,2.32,0.00232,150708592.00000003,0.006136904226956312,0.02485764122417992,0.0005230501145139406
106,106,0.01,410,2.25,1,100000.0,0.01651,0.00522,5.51,1299212000000.0,2.12,0.00212,137716472.0,0.00479257665853494,0.022949546567864285,0.0007380688744481347
107,107,0.01,410,2.25,1,100000.0,0.01414,0.01,4.71,1299212000000.0,2.48,0.00248,161102288.0,0.006354520437053054,0.019534240264061316,0.0006486399387044861
108,108,0.01,410,2.25,1,100000.0,0.01309,0.01134,4.36,1299212000000.0,2.32,0.00232,150708592.0,0.0063782450760810645,0.022263426325653257,0.0006313136081913173
109,109,0.01,410,2.25,1,100000.0,0.01225,0.01225,4.08,1299212000000.0,3.04,0.00304,197480224.0,0.0064461176612871625,0.0223679065791674,0.0006224084932538227
110,110,0.01,420,2.25,1,100000.0,0.01715,0.00243,5.72,1306924000000.0,2.76,0.0027599999999999994,180355512.0,0.005771261546628046,0.02671586443971256,0.0006222849942414323
111,111,0.01,420,2.25,1,100000.0,0.01651,0.00522,5.51,1306924000000.0,2.6,0.0026000000000000003,169900120.00000003,0.0045711176969170045,0.022716965644805083,0.0006203254243931204
112,112,0.01,420,2.25,1,100000.0,0.01414,0.01,4.71,1306924000000.0,2.56,0.0025599999999999998,167286272.0,0.00597215892109961,0.024857970061167335,0.0005890677584125067
113,113,0.01,420,2.25,1,100000.0,0.01309,0.01134,4.36,1306924000000.0,2.8,0.0027999999999999995,182969360.0,0.0054748307872492675,0.023280095847640393,0.000647616129068022
114,114,0.01,420,2.25,1,100000.0,0.01225,0.01225,4.08,1306924000000.0,1.84,0.00184,120237008.0,0.0061994845910629355,0.021184414477365264,0.0006290036218462799
115,115,0.01,430,2.25,1,100000.0,0.01715,0.00243,5.72,1314450000000.0,3.6,0.0036,236601000.0,0.006404271848356844,0.02404429525066379,0.0007643929452130075
116,116,0.01,430,2.25,1,100000.0,0.01651,0.00522,5.51,1314450000000.0,3.12,0.0031200000000000004,205054200.0,0.004814635804855645,0.024545678208587766,0.0006980864314188308
117,117,0.01,430,2.25,1,100000.0,0.01414,0.01,4.71,1314450000000.0,2.72,0.00272,178765200.0,0.006607146480013816,0.02576759588785117,0.0006701285231234369
118,118,0.01,430,2.25,1,100000.0,0.01309,0.01134,4.36,1314450000000.0,1.92,0.00192,126187200.0,0.004970619047092879,0.0200674783983956,0.0005842168195011693
119,119,0.01,430,2.25,1,100000.0,0.01225,0.01225,4.08,1314450000000.0,3.4,0.0034,223456500.0,0.006945868790158344,0.02525293061235984,0.0006996336424104633
120,120,0.01,440,2.25,1,100000.0,0.01715,0.00243,5.72,1321798000000.0,1.96,0.00196,129536204.0,0.005795133432217945,0.022842650443982607,0.0006100552602739407
121,121,0.01,440,2.25,1,100000.0,0.01651,0.00522,5.51,1321798000000.0,2.4,0.0024,158615760.0,0.00502440470145639,0.017669479549008653,0.0005627785185156553
122,122,0.01,440,2.25,1,100000.0,0.01414,0.01,4.71,1321798000000.0,2.68,0.00268,177120932.0,0.00608128455482862,0.023959721576947732,0.0005999306527384821
123,123,0.01,440,2.25,1,100000.0,0.01309,0.01134,4.36,1321798000000.0,2.12,0.00212,140110588.0,0.006826045421504707,0.022829143700336795,0.000576186656250945
124,124,0.01,440,2.25,1,100000.0,0.01225,0.01225,4.08,1321798000000.0,2.8,0.0027999999999999995,185051720.0,0.006676288686440173,0.02181073150003072,0.0007080077614931066
125,125,0.01,450,2.25,1,100000.0,0.01715,0.00243,5.72,1328976000000.0,2.24,0.00224,148845312.0,0.006129560225146384,0.021383392491449302,0.0006778280722446778
126,126,0.01,450,2.25,1,100000.0,0.01651,0.00522,5.51,1328976000000.0,2.96,0.00296,196688448.0,0.005700417401182269,0.02176003564469024,0.0006772597307678432
127,127,0.01,450,2.25,1,100000.0,0.01414,0.01,4.71,1328976000000.0,2.96,0.0029600000000000004,196688448.0,0.006575610122673228,0.019574705148602253,0.0005895349560049257
128,128,0.01,450,2.25,1,100000.0,0.01309,0.01134,4.36,1328976000000.0,2.3600000000000003,0.00236,156819168.0,0.006564469058025834,0.022704044268436467,0.0005892112006840747
129,129,0.01,450,2.25,1,100000.0,0.01225,0.01225,4.08,1328976000000.0,2.76,0.0027600000000000003,183398688.0,0.006726926931795722,0.022642165463328503,0.0006399701577676171
130,130,0.01,460,2.25,1,100000.0,0.01715,0.00243,5.72,1335988000000.0,3.0,0.003,200398200.0,0.007341589639652304,0.02138141029492613,0.0005389095853847353
131,131,0.01,460,2.25,1,100000.0,0.01651,0.00522,5.51,1335988000000.0,2.44,0.00244,162990536.0,0.006728406398179709,0.024198236801078334,0.0005853008438378054
132,132,0.01,460,2.25,1,100000.0,0.01414,0.01,4.71,1335988000000.0,2.64,0.00264,176350416.0,0.00659089906053823,0.024143320744237896,0.0005126205027298871
133,133,0.01,460,2.25,1,100000.0,0.01309,0.01134,4.36,1335988000000.0,2.88,0.00288,192382272.00000003,0.006751144215942201,0.026120621997043087,0.0006188115225394945
134,134,0.01,460,2.25,1,100000.0,0.01225,0.01225,4.08,1335988000000.0,2.44,0.0024400000000000003,162990536.0,0.005761920421111842,0.02329914610028496,0.0007304707287568749
135,135,0.01,470,2.25,1,100000.0,0.01715,0.00243,5.72,1342840000000.0,3.24,0.00324,217540080.0,0.006833278267176002,0.026092737879615423,0.0006659182943628475
136,136,0.01,470,2.25,1,100000.0,0.01651,0.00522,5.51,1342840000000.0,2.56,0.00256,171883520.0,0.0076829996693351344,0.020225685715254137,0.0006518166025953167
137,137,0.01,470,2.25,1,100000.0,0.01414,0.01,4.71,1342840000000.0,2.6,0.0026000000000000003,174569200.0,0.007399907865757048,0.029503813863909528,0.0005956328514332855
138,138,0.01,470,2.25,1,100000.0,0.01309,0.01134,4.36,1342840000000.0,2.76,0.0027600000000000003,185311920.0,0.00564617837707164,0.023271395000522888,0.0005278726197746979
139,139,0.01,470,2.25,1,100000.0,0.01225,0.01225,4.08,1342840000000.0,2.84,0.00284,190683280.0,0.006900693287791517,0.026673737374180505,0.000605899459166694
140,140,0.01,480,2.25,1,100000.0,0.01715,0.00243,5.72,1349540000000.0,2.44,0.00244,164643880.0,0.007156643503871662,0.021316622800150117,0.0005603955019217327
141,141,0.01,480,2.25,1,100000.0,0.01651,0.00522,5.51,1349540000000.0,2.64,0.00264,178139280.0,0.007042210384173328,0.02503594265770821,0.0007024125216877035
142,142,0.01,480,2.25,1,100000.0,0.01414,0.01,4.71,1349540000000.0,2.72,0.00272,183537440.0,0.007498068783058312,0.020612815985735927,0.0006675872183473798
143,143,0.01,480,2.25,1,100000.0,0.01309,0.01134,4.36,1349540000000.0,2.3600000000000003,0.00236,159245720.0,0.006730378027669672,0.024798233857514083,0.0006690532859399632
144,144,0.01,480,2.25,1,100000.0,0.01225,0.01225,4.08,1349540000000.0,3.76,0.00376,253713520.0,0.006731076214464048,0.020744989798932544,0.0007082656140197136
145,145,0.01,490,2.25,1,100000.0,0.01715,0.00243,5.72,1356090000000.0,3.04,0.00304,206125680.0,0.006953801881556664,0.02311680934947264,0.0006943826858551072
146,146,0.01,490,2.25,1,100000.0,0.01651,0.00522,5.51,1356090000000.0,2.92,0.00292,197989140.0,0.006612744165874361,0.028435166097685965,0.0005520059504618679
147,147,0.01,490,2.25,1,100000.0,0.01414,0.01,4.71,1356090000000.0,3.0,0.003,203413500.0,0.00834610022705408,0.024492716037522712,0.0006671286823053985
