,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.01,200,2.25,1,100000.0,0.01715,0.00243,5.72,5368410000000.0,100000.0,100.0,5368410000000.0,0.1997045863625999,0.03542902817520789,0.005471312361833935
1,1,0.01,200,2.25,1,100000.0,0.01651,0.00522,5.51,5368410000000.0,100000.0,100.0,5368410000000.0,0.1991275575233544,0.035319718580622765,0.010977482706107967
2,2,0.01,200,2.25,1,100000.0,0.01414,0.01,4.71,5368410000000.0,100000.0,100.0,5368410000000.0,0.1997037316543299,0.029539994613710038,0.02243045396749202
3,3,0.01,200,2.25,1,100000.0,0.01309,0.01134,4.36,5368410000000.0,100000.0,100.0,5368410000000.0,0.19948999687682087,0.026907176015202844,0.022783440732285335
4,4,0.01,200,2.25,1,100000.0,0.01225,0.01225,4.08,5368410000000.0,100000.0,100.0,5368410000000.0,0.19970490621393536,0.024499448600619297,0.02490194230930941
5,5,0.01,210,2.25,1,100000.0,0.01715,0.00243,5.72,5442440000000.0,100000.0,100.0,5442440000000.0,0.20977731232057975,0.03419561582690596,0.004947389630338882
6,6,0.01,210,2.25,1,100000.0,0.01651,0.00522,5.51,5442440000000.0,100000.0,100.0,5442440000000.0,0.2095831618051875,0.0340347049767308,0.011212721086803315
7,7,0.01,210,2.25,1,100000.0,0.01414,0.01,4.71,5442440000000.0,100000.0,100.0,5442440000000.0,0.2076033282761216,0.02985328866995405,0.02064455616589653
8,8,0.01,210,2.25,1,100000.0,0.01309,0.01134,4.36,5442440000000.0,100000.0,100.0,5442440000000.0,0.20954878590935663,0.027649723696508696,0.023494535264525426
9,9,0.01,210,2.25,1,100000.0,0.01225,0.01225,4.08,5442440000000.0,100000.0,100.0,5442440000000.0,0.20965175047475096,0.02519439127658773,0.02524986032427339
10,10,0.01,220,2.25,1,100000.0,0.01715,0.00243,5.72,5513500000000.0,100000.0,100.0,5513500000000.0,0.2196948124545656,0.037251226329520215,0.004933236261796184
11,11,0.01,220,2.25,1,100000.0,0.01651,0.00522,5.51,5513500000000.0,100000.0,100.0,5513500000000.0,0.2056743978379482,0.03308042417318876,0.010368008657828977
12,12,0.01,220,2.25,1,100000.0,0.01414,0.01,4.71,5513500000000.0,100000.0,100.0,5513500000000.0,0.21946414646460535,0.029760671125217724,0.02056664914114009
13,13,0.01,220,2.25,1,100000.0,0.01309,0.01134,4.36,5513500000000.0,100000.0,100.0,5513500000000.0,0.21972961862557555,0.027938436450940903,0.023109814462647767
14,14,0.01,220,2.25,1,100000.0,0.01225,0.01225,4.08,5513500000000.0,100000.0,100.0,5513500000000.0,0.21958451685151203,0.02700329657356976,0.025851032953421463
15,15,0.01,230,2.25,1,100000.0,0.01715,0.00243,5.72,5581830000000.0,100000.0,100.0,5581830000000.0,0.22968089879208836,0.03603370456867681,0.0050356296315976525
16,16,0.01,230,2.25,1,100000.0,0.01651,0.00522,5.51,5581830000000.0,100000.0,100.0,5581830000000.0,0.22861244300120237,0.03577461391218906,0.010357782316092055
17,17,0.01,230,2.25,1,100000.0,0.01414,0.01,4.71,5581830000000.0,100000.0,100.0,5581830000000.0,0.22921328181447503,0.029918217384793958,0.01996939127538514
