,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.01,500,1.191432847537555,2,100000.0,0.01715,0.00243,5.72,6812500000000.0,100000.0,100.0,6812500000000.0,0.4981627379384008,0.035195265787929295,0.0049708544452138235
1,1,0.01,500,1.191432847537555,2,100000.0,0.01651,0.00522,5.51,6812500000000.0,100000.0,100.0,6812500000000.0,0.49958210605341263,0.03298520167107162,0.010732966425932928
2,2,0.01,500,1.191432847537555,2,100000.0,0.01414,0.01,4.71,6812500000000.0,100000.0,100.0,6812500000000.0,0.49956519416373346,0.03057825722180021,0.021864801224090052
3,3,0.01,500,1.191432847537555,2,100000.0,0.01309,0.01134,4.36,6812500000000.0,100000.0,100.0,6812500000000.0,0.4983636822914946,0.02732463271228612,0.023895744643915317
4,4,0.01,500,1.191432847537555,2,100000.0,0.01225,0.01225,4.08,6812500000000.0,100000.0,100.0,6812500000000.0,0.4994652352241474,0.025081576487406367,0.026284761356876428
5,5,0.01,500,1.4245703315395712,2,100000.0,0.01715,0.00243,5.72,6812500000000.0,100000.0,100.0,6812500000000.0,0.4993868685990265,0.03418600180144894,0.005277564253173424
6,6,0.01,500,1.4245703315395712,2,100000.0,0.01651,0.00522,5.51,6812500000000.0,100000.0,100.0,6812500000000.0,0.49937540930665136,0.033956079121318185,0.010916935227648592
7,7,0.01,500,1.4245703315395712,2,100000.0,0.01414,0.01,4.71,6812500000000.0,100000.0,100.0,6812500000000.0,0.4674481470589222,0.028603857186133008,0.020286310422431206
8,8,0.01,500,1.4245703315395712,2,100000.0,0.01309,0.01134,4.36,6812500000000.0,100000.0,100.0,6812500000000.0,0.49916503100425863,0.027834449277839884,0.02437921120246368
9,9,0.01,500,1.4245703315395712,2,100000.0,0.01225,0.01225,4.08,6812500000000.0,100000.0,100.0,6812500000000.0,0.46767004195903267,0.026617981741750573,0.02560493186620484
10,10,0.01,500,1.7093389082243329,2,100000.0,0.01715,0.00243,5.72,6812500000000.0,100000.0,100.0,6812500000000.0,0.49923866255822985,0.03709256230244882,0.005151488629832636
11,11,0.01,500,1.7093389082243329,2,100000.0,0.01651,0.00522,5.51,6812500000000.0,100000.0,100.0,6812500000000.0,0.49952822919682377,0.03333860377730306,0.010812531737778568
12,12,0.01,500,1.7093389082243329,2,100000.0,0.01414,0.01,4.71,6812500000000.0,100000.0,100.0,6812500000000.0,0.4996561342893415,0.02956364367812776,0.02113112801646772
13,13,0.01,500,1.7093389082243329,2,100000.0,0.01309,0.01134,4.36,6812500000000.0,100000.0,100.0,6812500000000.0,0.4665997751664907,0.027316059133499937,0.023462491647522742
14,14,0.01,500,1.7093389082243329,2,100000.0,0.01225,0.01225,4.08,6812500000000.0,100000.0,100.0,6812500000000.0,0.49921829080719815,0.02596044775659513,0.025189678556943308
15,15,0.01,500,2.064163904469712,2,100000.0,0.01715,0.00243,5.72,6812500000000.0,100000.0,100.0,6812500000000.0,0.4993165435400897,0.035019783882191645,0.00501435032144988
