Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.translationXerror,SU.translationYerror,M1.translationXerror,M1.translationYerror,M1.rotationXerror,M1.rotationYerror,M2.translationXerror,M2.translationYerror,M2.rotationXerror,M2.rotationYerror,PG.translationXerror,PG.translationYerror,PG.rotationXerror,PG.rotationYerror,M3.translationXerror,M3.translationYerror,M3.rotationXerror,M3.rotationYerror,M4.translationXerror,M4.translationYerror,M4.rotationXerror,M4.rotationYerror,M5.translationXerror,M5.translationYerror,M5.rotationXerror,M5.rotationYerror
0,2.25,0.01,100,1,300000.0,-0.00015569896524492068,-7.089306873709616e-05,-3.512709105664191e-05,-0.0002304892599931236,4.2471712001097817e-07,1.5106495037339626e-06,5.449169512805575e-06,4.568980328813454e-05,-3.831343620571468e-05,1.859312135853914e-05,0.00020539405334283977,0.00010608224861395133,2.414724437850752e-05,-1.3779892807327144e-05,-0.0001712486435626338,-0.00010866475439561362,1.5752682765982262e-05,2.583036183514279e-05,0.00015937043804018603,0.00018390152068777375,4.298599586383072e-05,-2.9511278996227843e-05,0.00029220233330508484,-0.0002074810236911359,3.129919485488985e-05,7.3048693591237215e-06
1,2.25,0.01,100,1,300000.0,0.00014425867633685862,-0.0002124368431377138,0.0002225384469682397,0.00010153559196808478,3.02694220783259e-05,-1.1440014627194942e-05,-0.00024315544111505036,-0.00015906935559190064,-3.662858065144256e-05,3.177825343274722e-06,0.00018993712114733543,-5.808166632923525e-05,-1.226809037894038e-05,-3.6989226633446284e-05,-0.00016583260300572286,-7.225904168486644e-05,-2.7173344502200003e-05,3.1242749390205574e-05,0.00025226007792557547,9.812679173863052e-05,-2.066533445828698e-05,2.3908870291563244e-05,0.00014393267713861844,0.00023985573039414775,3.2479859702825915e-05,-3.094891933764708e-05
2,2.25,0.01,100,1,300000.0,0.00025470572233660056,-0.00018656545505359526,-6.060530242258972e-05,-9.666271870524079e-05,3.998508157693352e-05,-2.8656224790448416e-05,-0.00011760319488682093,9.477774827556563e-05,4.3590072309469435e-05,-3.6053155155027195e-05,-0.00021664728171291595,5.366088534506329e-05,1.787895156425773e-05,1.5207978879535642e-05,4.0417468285310597e-05,-6.065044910410548e-05,6.056913224446148e-07,-1.7117562249460903e-05,0.00010576745042040073,-2.5537463311754152e-05,2.143027360214205e-05,-3.2683310077455586e-05,1.4597073645101826e-05,-0.0001050766570532576,-6.328775312920362e-06,-3.2235897567552853e-06
3,2.25,0.01,100,1,300000.0,-0.00021238095619735233,-9.565597570863524e-05,-0.00021978473114736064,-1.8270408540604585e-06,-4.644673615628817e-06,-4.2588581500026157e-05,-0.00024614108373540453,-0.00025069259977871146,1.8062407532172177e-05,2.352171859888412e-05,0.00025031935711557126,2.0226828232130806e-07,-5.297143319077621e-06,-3.6209560971159585e-05,0.0002995826686541957,-0.00023322148453193224,2.6591737259394996e-05,-1.4249635328324637e-05,-0.00026220985367803886,2.376114279140296e-05,-4.920510920728925e-05,-2.864178224577392e-05,-0.00015807402749700447,-0.00026629125822548666,1.791406069734282e-05,-1.8818898274993737e-05
4,2.25,0.01,100,1,300000.0,-0.0002915713327972507,-0.00010372686535350871,-2.6652744030463327e-05,-0.0002232784078680722,-4.202029058010946e-06,-4.7199258724352435e-05,0.000276021461281649,-0.00011820489478221038,-1.4739275939423155e-05,3.7772549904609577e-06,-6.747047123030033e-05,0.0002543835548999683,2.9302324863802937e-05,4.8269362964236956e-05,-0.0002877296546737371,-0.0002604542915877633,4.2829434729437005e-05,-7.486824916786439e-06,-0.00011868394183650599,0.00021169564455036076,1.5708760409307786e-05,-2.2122358023022527e-05,-0.00014502367956817456,-0.00021949569519662688,-5.911549612359088e-06,-3.021052074172236e-05
5,2.25,0.01,100,1,300000.0,4.865483350451299e-07,0.00029264599395030494,-0.000224031155843246,0.00018114508631575458,2.789561560837263e-06,4.9146527470497795e-05,-0.0001419426665243456,0.00028786549022980645,1.924902385687173e-05,-2.7670048829011063e-05,-0.0002900711190542211,0.0002765817731478298,-2.1266664091115028e-05,-1.948343244014278e-05,7.333531388771725e-05,-5.406271806838547e-06,-5.7921588898573e-06,-6.508161776823816e-06,-0.00020476631308579467,-0.00022229942847316902,4.338617608727393e-05,1.62154797021649e-05,-3.51673580769031e-05,-0.00026924800858688607,2.4894653273895133e-05,-1.4539879318273344e-05
6,2.25,0.01,100,1,300000.0,-0.00023119378831220429,9.25891786389307e-05,-0.00023823000864223499,-4.06049203398432e-05,-1.798579896198835e-06,4.3682872025084086e-05,-3.49840510430732e-05,2.468095467530871e-05,1.6972437198277912e-05,2.848458557373322e-05,0.00010394938080696115,-7.575587501626652e-05,-1.2562044914051529e-05,2.6711996148004147e-05,-0.00021138316626782375,0.00017516934836944183,1.300422050844693e-05,-2.3030180796726665e-05,0.0001145136538217551,0.00011986780245403476,-3.661925970109461e-05,-4.428165334141736e-05,0.0001604956057032356,-0.0002734712808040554,-1.3925199470260641e-05,8.134924431655913e-06
7,2.25,0.01,100,1,300000.0,0.0001344358336390034,-0.00021491728663449228,0.00024084359902523347,-0.00012378098570731846,1.462419484516227e-05,4.339247274912175e-05,3.8496532900335735e-05,-0.00021553858538062807,1.8919675872063102e-05,1.4463516346768531e-05,-0.0001089931746789461,-0.00026437408629091295,2.301663707453358e-05,-2.486855633400933e-06,4.4241395759562585e-06,-0.00025604122516862223,-1.758085271503826e-06,-1.2050515335381405e-05,0.00027963226441294714,3.102533141208713e-05,3.815273291772638e-05,-4.375067839070653e-05,-0.00025607955879907135,0.00023288814794059223,-2.8785704541003767e-05,2.4082469240286232e-05
8,2.25,0.01,100,1,300000.0,-7.879974002404733e-05,9.134161389459043e-05,-0.00023504597024919983,-0.000142536600641038,-2.570563814991098e-06,3.807833602766144e-05,0.0001095593376694233,-2.326113351045346e-05,-1.1877374767026787e-06,-2.340971380058896e-05,0.00022434088319765977,-7.446495368518269e-06,3.7819750236110546e-05,-3.2758817402069364e-05,0.00013364640598171316,7.657234491513097e-05,1.8548269791839835e-05,1.3514088184560687e-05,-0.00020693386053965664,-0.00013357067276846372,-4.854772857493963e-05,2.2806679540949734e-05,-0.0001146083250649765,-1.9668054516633207e-05,3.703284868921217e-05,3.309755617805925e-05
9,2.25,0.01,100,1,300000.0,-0.00021707987192786735,-0.00011084608312212179,-0.00021964571552883066,-0.0002101466769310257,1.2521538957741125e-05,-4.764510478319475e-05,5.1423745425514973e-05,-1.0992357556228257e-06,-6.677506264293546e-06,-5.8660239789784516e-06,0.00026170224350030835,-0.00026545617392694827,2.9050043029832594e-05,-3.9978096530179855e-05,-0.00016065328060066022,-0.00012243103426903444,-3.207679637961733e-05,4.242170230267424e-05,9.683437738084344e-05,-4.696346964827493e-05,1.0580756574615244e-05,-3.7858071248047564e-05,0.0001722849520089712,0.0002400667361607209,3.864912048310911e-05,1.2124811687302889e-05
