,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
20,20,0.02,700,100000.0,17.15,2.43,0.81,1.2213869551635184,,,,,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,0.02,710,100000.0,17.15,2.43,0.81,1.223941831892816,,,,,710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,0.02,720,100000.0,17.15,2.43,0.81,1.2266374169211949,,,,,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,0.02,730,100000.0,17.15,2.43,0.81,1.229478621587225,,,,,730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,0.02,740,100000.0,17.15,2.43,0.81,1.2324707631906469,,,,,740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,0.02,750,100000.0,17.15,2.43,0.81,1.2347562230259803,,,,,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,0.02,760,100000.0,17.15,2.43,0.81,1.2380444696053936,,,,,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,0.02,770,100000.0,17.15,2.43,0.81,1.240594508554498,,,,,770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,0.02,780,100000.0,17.15,2.43,0.81,1.2432735686752114,,,,,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,0.02,790,100000.0,17.15,2.43,0.81,1.2460858129743697,,,,,790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,0.02,800,100000.0,17.15,2.43,0.81,1.2490357206608476,,,,,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,0.02,810,100000.0,17.15,2.43,0.81,1.2511385861979998,,,,,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,0.02,820,100000.0,17.15,2.43,0.81,1.2543539389756433,,,,,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,0.02,830,100000.0,17.15,2.43,0.81,1.2566873064569206,,,,,830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,0.02,840,100000.0,17.15,2.43,0.81,1.2601856033545715,,,,,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,0.02,850,100000.0,17.15,2.43,0.81,1.262764156886772,,,,,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,0.02,860,100000.0,17.15,2.43,0.81,1.2654602043467365,,0.086,10.0,0.0003216573671969,860.0,0.0301362638672742,0.0191601858639558,0.0059521998593487,-0.0007878038885528,-0.0010987075166548,6842548011.316525,4676898119.0431,3136480987.537089,2217827546.822708,1604748604.945394,2.8537047717248565,0.0009179151636302,19526611910.6504,13346486479.1843,8950590760.558882,6329025053.230795,4579478751.351478,2.5671963424712386e-07,1.7546849105714894e-07,1.1767491446342913e-07,8.32087514332216e-08,6.02071734445747e-08,1.4219167971648157e-07,9.718835707250533e-08,6.517769393493805e-08,4.6087601238990654e-08,3.3347504362773666e-08
37,37,0.02,870,100000.0,17.15,2.43,0.81,1.2682772400742597,,0.087,19.0,0.000644369451453,870.0,0.0244850238540387,0.0143912763781014,0.0051061980238583,-0.0030261799431827,0.0002927769577661,13601642638.095922,9369131824.127735,6283246521.118953,4442927367.768965,3214759193.2994003,3.553192372555095,0.0022895686200105,48329252875.90259,33290327734.95388,22325583613.7232,15786575634.972973,11422657845.2328,5.162610293893566e-07,3.556127571284199e-07,2.384855567234679e-07,1.686347978267163e-07,1.2201871013161532e-07,2.8521132735361984e-07,1.964602801889661e-07,1.317526954692303e-07,9.316324841148013e-08,6.74099269506707e-08
38,38,0.02,880,100000.0,17.15,2.43,0.81,1.2712189973769052,,0.088,47.0,0.0016685036865911,880.0,0.030188921363397,0.0179691896654752,0.0061021626251697,0.000147106557428,-3.2571422623844195e-05,34934597337.182144,24260043603.03472,16269579447.949902,11504332919.045694,8324164892.403042,2.914976621413735,0.0048636492391557,101833534516.38846,70717459937.32404,47425443731.00734,33534861503.978622,24264746054.147846,1.341555900169432e-06,9.316324536358352e-07,6.247832225174022e-07,4.417885672502808e-07,3.196639828878392e-07,7.389577548028502e-07,5.131631310728543e-07,3.4414399526075665e-07,2.4334661545717536e-07,1.760777758543652e-07
39,39,0.02,890,100000.0,17.15,2.43,0.81,1.273117706303165,,0.089,124.0,0.004578819906639,890.0,0.0127600981091973,0.0083682986185229,0.0056931381811604,-0.0008037483763229,-8.858027681213392e-05,95078920458.54211,66576041442.53143,44648072909.63714,31570963256.27608,22843732514.22209,6.9748680016692,0.0319366644522224,663162919939.5365,464359101135.315,311414415073.6215,220203301398.07407,159332018952.138,3.692704947778375e-06,2.585701188577668e-06,1.734055865874886e-06,1.226162977664582e-06,8.872120515690498e-07,2.0281945377750643e-06,1.4201798142975991e-06,9.524190762872e-07,6.734621609065988e-07,4.872955360062394e-07
40,40,0.02,900,100000.0,17.15,2.43,0.81,1.27629455732646,,0.09,273.0,0.0105903799626904,900.0,0.0284891599152388,0.0139112839841821,0.0054627045734846,0.0006271069401794,-0.0001443765099532,218079984566.2237,153984124657.51987,103266795016.19504,73020669842.75099,52835405633.8629,3.1590963112906363,0.0334560302753018,688935674809.4762,486450680202.88855,326229751214.468,230679328748.20605,166912135043.48077,8.566283677544021e-06,6.048568355680791e-06,4.0563679529740985e-06,2.8682860256134155e-06,2.075399417227749e-06,4.690154386400609e-06,3.311671720515983e-06,2.220915470890739e-06,1.570424794563803e-06,1.136308817995477e-06
41,41,0.02,910,100000.0,17.15,2.43,0.81,1.2796077230682912,,0.091,576.0,0.0232848286959361,910.0,0.0217424955488922,0.0200992831091862,0.0063450181210809,0.0004734912188654,-2.2600407441925028e-05,475469601095.1729,338561409238.91095,227050364614.0729,160548893858.47943,116168010364.0252,4.1853521273751,0.0974552073181009,1990007706445.872,1416998714405.1875,950285726558.8024,671953654458.306,486204029310.0056,1.888487982413708e-05,1.3447108946272094e-05,9.01807148109348e-06,6.376741140615274e-06,4.614004575856359e-06,1.0306652846165765e-05,7.338923254182231e-06,4.921722190614232e-06,3.480184032846388e-06,2.518149113831853e-06
42,42,0.02,920,100000.0,17.15,2.43,0.81,1.281815020120052,,0.092,1117.0,0.0473878337779258,920.0,0.0322215933132383,0.0193540318566344,0.0052029963478135,0.0005454608427464,-0.000124989667038,959469102396.0128,689019103131.0425,462078767168.5554,326739113898.799,236417902718.0723,2.8552281417505645,0.135303076579332,2739503182301.249,1967306733463.487,1319340299725.0662,932914713014.494,675027049054.2872,3.853581430674196e-05,2.767354586588517e-05,1.855878581418476e-05,1.312304668124335e-05,9.495414052606684e-06,2.0957572434193128e-05,1.505016443609411e-05,1.0093132972238904e-05,7.136924607074889e-06,5.164048856373694e-06
43,43,0.02,930,100000.0,17.15,2.43,0.81,1.2841168225857662,,0.093,1859.0,0.0821528043261428,930.0,0.0264532066144056,0.0158156399045027,0.0057673377313097,1.323473107532286e-05,-4.589246091101123e-05,1648563697757.4685,1194501774902.117,801071994984.2189,566443585828.7549,409860340783.12665,3.515641840915986,0.2888198362375717,5795759513251.332,4199440418894.292,2816282223152.561,1991412770858.057,1440922162989.245,6.693454853802327e-05,4.8498846080197496e-05,3.252491390151346e-05,2.299859310336738e-05,1.6641041478274092e-05,3.6275460555288365e-05,2.628415394420412e-05,1.762701410659796e-05,1.2464184418520453e-05,9.01868253284968e-06
44,44,0.02,940,100000.0,17.15,2.43,0.81,1.2878064410377517,,0.094,3062.0,0.1412095336497855,940.0,0.0268482021840554,0.0155650655809331,0.0066877281923361,8.084843855512476e-05,2.7926054810685104e-05,2808176601362.021,2053186619267.8823,1376934162619.059,973639734515.2716,704494363378.7803,3.5011655289092096,0.4943979515679743,9831891115778.129,7188546215798.348,4820874425739.317,3408873876061.184,2466551380372.624,0.0001152555212058,8.426859401282789e-05,5.6513277869263046e-05,3.996093230525779e-05,2.891444398418145e-05,6.22336807835016e-05,4.5501896351710815e-05,3.051506130161844e-05,2.157741233459739e-05,1.5612720832096648e-05
45,45,0.02,950,100000.0,17.15,2.43,0.81,1.2903273184414836,,0.095,4295.0,0.2062918480360638,950.0,0.0322175566452642,0.0188592258298772,0.0061053521283649,0.0002612973889682,4.430447319015971e-06,4064112102396.532,2999483470444.368,2011551810199.6584,1422382292208.6602,1029190029851.9224,2.9487028158593853,0.6082933531927779,11983858800304.86,8844585355422.99,5931468486982.777,4194182670264.204,3034775539078.769,0.0001685833536712,0.0001244215144633,8.344114082065977e-05,5.900181170735813e-05,4.269181125569394e-05,9.068986444641506e-05,6.693288533637041e-05,4.488738410694277e-05,3.17401818703077e-05,2.296617365496231e-05
46,46,0.02,960,100000.0,17.15,2.43,0.81,1.2929505959884064,,0.096,5457.0,0.2725635634971746,960.0,0.0304830413963372,0.0163843845734368,0.0058654856150294,-0.0002821030494379,6.520515899408085e-05,5317391451928.545,3963074213248.919,2657767307660.9497,1879325770313.019,1359819618287.4043,3.149292052319129,0.8583822642734322,16746018638628.238,12480878122535.703,8370085458930.237,5918545712165.314,4282469116460.153,0.0002229414772754,0.0001661592206707,0.0001114318129821,7.879421090268277e-05,5.701295405271709e-05,0.0001194460432491,8.902363840521775e-05,5.970216630600263e-05,4.2215817524345e-05,3.054600632762252e-05
47,47,0.02,970,100000.0,17.15,2.43,0.81,1.2956789482995912,,0.097,6887.0,0.3575980803099959,970.0,0.028810804807108,0.0176433098963674,0.0063518959432579,-6.291943208173539e-05,-5.857466422157477e-05,6907663582448.508,5199476087707.342,3486938881102.7705,2465638763737.4224,1784056822666.5698,3.366792446425121,1.2039585156438182,23256669571833.527,17505556817461.115,11739799486042.871,8301293965364.127,6006549034547.009,0.0002926119481691,0.0002202523051859,0.0001477084063182,0.0001044456426586,7.557350416592762e-05,0.0001561664465982,0.0001175482411814,7.883169874556087e-05,5.574244311872037e-05,4.033343708764263e-05
48,48,0.02,980,100000.0,17.15,2.43,0.81,1.2985152133703606,,0.098,7806.0,0.4211479569400143,980.0,0.0306072437183502,0.0138119418162183,0.0062850303648166,0.0001651848303417,-2.3668044045949696e-05,8054531746247.229,6123491293907.808,4106613728122.08,2903815163101.3984,2101107157173.732,3.2018564265963367,1.348455292476302,25789454234945.902,19606539952605.44,13148787556936.422,9297599241624.102,6727443454164.271,0.0003447745303536,0.0002621162721178,0.0001757837530551,0.0001242979158358,8.993796984843117e-05,0.0001832245238557,0.0001392972070889,9.341726728500472e-05,6.605600019793945e-05,4.779599492204785e-05
49,49,0.02,990,100000.0,17.15,2.43,0.81,1.3014623997885304,,0.099,8978.0,0.5022925363878362,990.0,0.0281447245629351,0.0159779255064045,0.0064662794469285,7.673576046446027e-05,-6.0572070245605125e-06,9510186239462.938,7303333479079.139,4897854522317.791,3463307038394.131,2505937464038.915,3.517533091454618,1.7668306183348867,33452394803207.234,25689717190589.25,17228365359383.48,12182297113419.045,8814717954872.75,0.0004112528767082,0.0003158210393785,0.0002117999281279,0.0001497652040244,0.0001083652796052,0.0002176273870914,0.0001671266305505,0.0001120805897178,7.925296545019225e-05,5.734489407266267e-05
50,50,0.02,1000,100000.0,17.15,2.43,0.81,1.3030784300337173,,0.1,9410.0,0.5471732795372081,1000.0,0.0320286428969893,0.0159824432134462,0.0065347605551738,1.529114877036143e-05,-3.359637934793408e-05,10254495559982.74,7955899484471.005,5335486648767.315,3772759762409.05,2729847491611.131,3.1222053435613977,1.7083873372250853,32016640832904.74,24839951883252.74,16658484925281.809,11779330690166.965,8523144425415.95,0.0004479021051585,0.000347502625232,0.0002330466367701,0.0001647888996544,0.0001192359420414,0.0002360084318184,0.0001831059704548,0.0001227968581777,8.683051349972612e-05,6.282776386513903e-05
51,51,0.02,1010,100000.0,17.15,2.43,0.81,1.306227946338567,,0.1009999999999999,9702.0,0.5861638968674147,1010.0,0.0299090008409166,0.0172075694670008,0.0065344217961289,6.077914502775827e-06,-1.953760952741243e-05,10870796722833.564,8522823060452.209,5715684158354.16,4041600068900.824,2924371681471.532,3.37690986526799,1.979422645995501,36709700696659.6,28780805272774.59,19301350221102.133,13648119144138.982,9875339580871.557,0.000479622269094,0.0003760290841199,0.0002521774139789,0.0001783164054337,0.000129024009675,0.0002515776656792,0.0001972396306557,0.000132275353406,9.35328234781089e-05,6.767733956958451e-05
52,52,0.02,1020,100000.0,17.15,2.43,0.81,1.309497373164899,,0.102,9864.0,0.6146483557618394,1020.0,0.0297659484090218,0.0162176139663095,0.0069670282615608,-8.632657930876463e-05,-2.8562873092360056e-05,11279083425812.764,8936987092777.145,5993436117033.695,4238000412977.882,3066480646895.8164,3.426734421439926,2.106236677770549,38650423417525.16,30624681294783.773,20537913844940.613,14522501893227.93,10508014785397.264,0.0005026552320919,0.0003982791111413,0.0002670990105047,0.000188867570242,0.0001366584928118,0.0002625026688965,0.0002079941139879,0.0001394876620011,9.863269710776476e-05,7.136744392612594e-05
53,53,0.02,1030,100000.0,17.15,2.43,0.81,1.3113648498030146,,0.103,10169.0,0.6566346918512534,1030.0,0.0305907185102114,0.0155493029243212,0.0063875617937174,9.236139808076696e-05,2.5595083929662653e-05,11916800695516.418,9547468419517.225,6402844880241.572,4527496200314.393,3275950477645.904,3.367034349507604,2.210911562541511,40124277278039.88,32146654119353.57,21558598646342.28,15244235223723.717,11030237785519.598,0.0005363015508877,0.0004296725481332,0.0002881524770871,0.0002037546230659,0.0001474302849131,0.000278868423842,0.000223423009066,0.0001498347841405,0.0001059492192235,7.666144375726092e-05
54,54,0.02,1040,100000.0,17.15,2.43,0.81,1.3148529848069055,,0.104,10343.0,0.6906241487432618,1040.0,0.0305146119269466,0.0168207787447181,0.0063999514619808,-9.634255673092322e-05,-1.4555238724605148e-05,12391307095014.12,10041675122727.027,6734276074395.546,4761853505584.79,3445523878080.1333,3.4082032650122125,2.353787478643065,42232093298996.125,34224069939470.168,22951781704248.527,16229364665243.934,11743045730950.25,0.0005630496415502,0.0004562845174493,0.0003059993349139,0.0002163742605098,0.0001565614482499,0.0002915155822054,0.0002362385781639,0.0001584293243244,0.0001120264784347,8.105875285144939e-05
55,55,0.02,1050,100000.0,17.15,2.43,0.81,1.3168912269425,,0.105,10168.0,0.7047239815137162,1050.0,0.0309345149757973,0.0157445093424034,0.0066448014156914,0.0002406059780228,-3.383586461133837e-05,12499038486288.531,10246686691209.434,6871763543740.247,4859071852537.073,3515867943771.93,3.39426689192154,2.3920212783951333,42425072514862.28,34779989387865.24,23324599485630.95,16492986714534.447,11933794157913.322,0.000573468946463,0.0004701286925383,0.0003152836919491,0.00022293929402,0.0001613116951219,0.0002955749845411,0.000242311779716,0.0001625022121053,0.0001149064457456,8.314260447066559e-05
56,56,0.02,1060,100000.0,17.15,2.43,0.81,1.3190065159908224,,0.106,10314.0,0.7352451218463931,1060.0,0.0311848239539358,0.0167257479796062,0.0065427868661543,0.0001505441783567,-4.411514508355776e-06,12888796462794.342,10690464071646.557,7169375183124.18,5069515115130.881,3668137912891.6553,3.399089254330124,2.499163792966718,43810169557932.36,36337841549736.08,24369346145218.47,17231734352505.52,12468328163110.955,0.0005969833682663,0.0004951609925911,0.0003320711718539,0.0002348098379584,0.0001699008385169,0.0003063123456779,0.0002540672541167,0.0001703858180806,0.0001204809984274,8.717617130594537e-05
57,57,0.02,1070,100000.0,17.15,2.43,0.81,1.3228273082050117,,0.107,10480.0,0.7767119935079685,1070.0,0.0313987746028487,0.0143186440265226,0.0066309584033936,6.96231638577481e-05,-1.6050590731973938e-05,13455590030433.998,11293392385605.86,7573718648696.201,5355429195237.442,3875016135611.255,3.407776301890838,2.6468607248708453,45853640833671.6,38485354939622.086,25809538928215.617,18250104697984.48,13205188156380.648,0.0006292310395864,0.0005281190208069,0.0003541739045315,0.0002504388341447,0.0001812094769467,0.0003213236864141,0.0002696897323161,0.0001808627633985,0.0001278893194167,9.25365938463124e-05
58,58,0.02,1080,100000.0,17.15,2.43,0.81,1.325125563662994,,0.108,10361.0,0.7920621161336435,1080.0,0.0355078281231726,0.016720428318717,0.0057974893899913,0.0003050502320471,2.971895788768778e-05,13556870349036.428,11516583168583.176,7723397694419.157,5461268290741.472,3951597897390.747,3.041582820142087,2.409122524917477,41234343948522.86,35028641512300.12,23491353740470.32,16610899809306.002,12019112276813.293,0.000639868735485,0.0005435695200635,0.0003645355151402,0.000257765601158,0.0001865108896559,0.0003252373953179,0.0002762896904873,0.0001852889114127,0.0001310190794986,9.480118747188894e-05
59,59,0.02,1090,100000.0,17.15,2.43,0.81,1.327506224353894,,0.109,10367.0,0.8150915862522314,1090.0,0.0316859944348379,0.0174497394728756,0.0067653947279576,7.210955723519313e-05,-2.374334394869064e-06,13774099284713.584,11851431664107.443,7947958057545.508,5620056487209.136,4066491923812.3823,3.440005653733156,2.803919665018002,47382979414496.55,40768991929361.75,27341020653590.53,19333026090299.125,13988755208774.81,0.0006561894469554,0.0005645947679447,0.0003786357346787,0.000267735964579,0.000193725123609,0.0003319300018004,0.0002855973121938,0.0001915309072353,0.0001354328382102,9.79948411647199e-05
60,60,0.02,1100,100000.0,17.15,2.43,0.81,1.3299710154832407,,0.11,10672.0,0.8623892783335855,1100.0,0.0356017619033082,0.016614959768733,0.0063513288202264,8.305954020723758e-05,1.8615013060561808e-05,14386166180092.53,12539140106970.334,8409157853030.793,5946174074110.072,4302460109606.258,3.0897347243305533,2.664554099157645,44449437196621.72,38742616601752.16,25982067020886.203,18372100513691.965,13293460400697.494,0.0006916608796156,0.0006028592028926,0.0004042971174281,0.0002858813070113,0.000206854509163,0.0003481655613903,0.0003034649190092,0.0002035135093025,0.0001439058195714,0.000104125617671
61,61,0.02,1110,100000.0,17.15,2.43,0.81,1.3325217561720653,,0.111,10614.0,0.8821498890251201,1110.0,0.0321120306241482,0.0163785855598295,0.0063705025481192,0.0001528666085987,3.0341522279085173e-05,14523117359059.92,12826459386425.246,8601843567883.946,6082423484828.203,4401045796346.324,3.4566484224927216,3.0492820223008112,50201310708871.13,44336560604253.79,29733548999455.207,21024799543764.09,15212868009258.746,0.0007046962416723,0.0006223703561782,0.0004173819355635,0.0002951336730295,0.0002135492233131,0.0003529277323928,0.0003116970767337,0.000209034263771,0.0001478095834992,0.0001069502555587
62,62,0.02,1120,100000.0,17.15,2.43,0.81,1.3351603627416246,,0.112,10544.0,0.9025147807079954,1120.0,0.0354579008967448,0.0151176689121265,0.0066359673176856,0.0002644342107265,-3.635333648696147e-05,14658957830308.838,13122564911494.254,8800421626683.664,6222839412981.628,4502646240952.189,3.158675419792885,2.850751253822111,46302889778376.98,41449923230573.5,27797675476019.41,19655929895103.457,14222398005318.516,0.0007176429314854,0.0006424273854053,0.0004308328359757,0.0003046448983748,0.0002204312397377,0.0004490717043362,0.0004020048804481,0.0002695976333734,0.0001906343638714,0.0001379368877961
63,63,0.02,1130,100000.0,17.15,2.43,0.81,1.3378888522403134,,0.113,10684.0,0.9430720413602048,1130.0,0.036475650413422,0.0175323349078725,0.0066008304434895,0.0001023186400678,1.421438514667839e-05,15109307477434.998,13712267481377.38,9195895475303.355,6502481725178.612,4704986414346.062,3.097957095191895,2.921596721808951,46807986303155.7,42480016335102.15,28488489634359.08,20144409396872.715,14575846045104.854,0.0007463766592894,0.000677365022144,0.0004542631589357,0.0003212126428942,0.0002324191262363,0.0004666981975986,0.0004235462497606,0.0002840439808401,0.0002008494767606,0.0001453282145843
64,64,0.02,1140,100000.0,17.15,2.43,0.81,1.3407093462251414,,0.114,10588.0,0.9644615857152125,1140.0,0.0325694301329804,0.0165108208616429,0.006653652530585,0.0001424405866199,-1.3983393262986317e-05,15236879493697.998,14023271456299.188,9404464922309.035,6649962633506.39,4811698851133.194,3.500214757658945,3.375822675515535,53332350464512.695,49084461701995.88,32917646908951.98,23276297347679.613,16841979328147.002,0.0007593393934716,0.0006988584799478,0.0004686773753763,0.0003314050357111,0.0002397940135116,0.0004744489160389,0.0004366593530199,0.0002928380571731,0.0002070678293722,0.0001498276143202
65,65,0.02,1150,100000.0,17.15,2.43,0.81,1.3436240748108517,,0.115,10512.0,0.9830995556444948,1150.0,0.0333299173560135,0.0164496973262736,0.006506898059628,0.0001004627413711,-5.475725058028397e-05,15309986113224.348,14294267539070.955,9586203767089.47,6778471436168.793,4904683683110.386,3.45035358988825,3.3920410810355266,52824865546902.88,49320277318256.56,33075792581177.426,23388123253739.96,16922892953286.244,0.00076976016445,0.0007186915553152,0.0004819780849985,0.000340810060103,0.0002465991863457,0.000490736140561,0.0004581789710581,0.0003072698175232,0.0002172726276097,0.0001572114777585
66,66,0.02,1160,100000.0,17.15,2.43,0.81,1.346635381001531,,0.1159999999999999,10707.0,1.0246428481421668,1160.0,0.033370771394857,0.0151025479533402,0.0064195454397001,0.0001580543511926,2.011299614598849e-05,15726251795401.574,14898307011987.104,9991292412234.27,7064912437940.24,5111943169381.271,3.4760958512897173,3.5617567534806653,54665958622332.88,51787943195608.88,34730690103189.973,24558312815249.19,17769604443115.043,0.0007974771738148,0.0007554921493766,0.0005066577681273,0.0003582612358976,0.0002592262952709,0.0005084251808168,0.0004816579649735,0.0003230155994812,0.0002284065796762,0.0001652676469912
67,67,0.02,1170,100000.0,17.15,2.43,0.81,1.349745725320319,,0.117,10758.0,1.0474757982731404,1170.0,0.0344756988897643,0.0177826924133216,0.0062818009346638,0.0001459781455739,2.4136906855669887e-05,15833482463743.371,15230298106891.465,10213936508961.393,7222345629093.304,5225856757584.697,3.3936947985915027,3.5548131682500386,53734007080795.65,51686983466355.57,34662983203606.125,24510436795084.02,17734962896399.44,0.0008099552360133,0.0007790995901229,0.0005224896907351,0.0003694560986174,0.0002673265374912,0.0005162312149711,0.0004965651311451,0.0003330128331359,0.000235475693208,0.0001703826299369
68,68,0.02,1180,100000.0,17.15,2.43,0.81,1.3510128674021782,,0.118,10774.0,1.0840279134228163,1180.0,0.0347341970730212,0.01894549007305,0.0065919064600559,0.000155336315492,4.3372343455663e-07,16129401934900.396,15761765861167.748,10570356183785.88,7474372463050.318,5408215260066.431,3.397228378474679,3.682690390538684,54795261981068.01,53546318278432.45,35909913998142.7,25392150242764.223,18372942358397.49,0.0008321449498141,0.0008131779414055,0.0005453437487376,0.0003856163621727,0.0002790195838839,0.0005302532335765,0.0005181672171412,0.0003474998991983,0.0002457195984999,0.0001777947899805
69,69,0.02,1190,100000.0,17.15,2.43,0.81,1.3542942215086209,,0.119,10762.0,1.1127456006514689,1190.0,0.0350880128939934,0.0173291002086909,0.0065291253876766,0.0001735165214562,-5.797142504697189e-06,16293302065684.54,16179321033472.355,10850382351952.47,7672380916491.877,5551487801650.178,3.391471621933059,3.773845127040312,55258271583352.41,54871708147166.15,36798763833770.086,26020662150942.96,18827713338804.12,0.0008476624599493,0.0008417325728237,0.0005644934193675,0.0003991572276217,0.0002888173181442,0.0005400408367671,0.0005362629400729,0.000359635483401,0.0002543007545944,0.000184003838241
