Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.translationXerror,SU.translationYerror,M1.translationXerror,M1.translationYerror,M1.rotationXerror,M1.rotationYerror,M2.translationXerror,M2.translationYerror,M2.rotationXerror,M2.rotationYerror,PG.translationXerror,PG.translationYerror,PG.rotationXerror,PG.rotationYerror,M3.translationXerror,M3.translationYerror,M3.rotationXerror,M3.rotationYerror,M4.translationXerror,M4.translationYerror,M4.rotationXerror,M4.rotationYerror,M5.translationXerror,M5.translationYerror,M5.rotationXerror,M5.rotationYerror
0,2.25,0.01,100,1,300000.0,-0.008000154276392713,-0.0030359448729337796,-0.026637460573476254,0.02893164313756435,0.00028433753923371927,-0.004281404494087463,0.006675373005796091,0.009089783041454698,-0.0009707921194390479,0.004179595056540148,0.011629476422144562,0.018184321486820483,0.003947170366535421,-0.001087236731113569,0.021836112534231948,0.010424241264351916,-0.0014045514930178683,0.004786840208213502,0.026736077368688736,0.0006725676296883386,-0.002696966178606751,0.003934474495754373,0.02147309087658745,-0.004284787010866729,-0.002442173768334882,-8.487523316314059e-05
1,2.25,0.01,100,1,300000.0,0.010511994220911057,0.027895713488326125,-0.000886761652206948,-0.028689989493588784,-0.0015064416420470495,-0.002322445874522964,0.012691910508871487,-0.025364504042576806,0.00036718029682474094,-0.0027707873587778696,0.02979160014565587,0.012024913720054244,0.00278886338149529,-0.0004650569413765359,-0.02438423022030643,-0.009504839888605197,-0.002259244963307108,-0.002921590442581411,-0.016585851561730196,-0.026397801361944997,-0.0015952506793258546,-0.0017842136442276324,-0.016971425347439943,0.01388352280599383,0.0031886334908437603,-0.001097360580394652
2,2.25,0.01,100,1,300000.0,-0.013887680911275353,-0.009508903920964484,0.021241921246160714,-0.004880199097319394,-0.0011605836830017578,-0.003959516156083184,-0.02896524962776496,-0.023091518747438398,-0.002814505008571113,0.00040620574485247286,-0.006109980139944866,-0.013404052913318802,0.004306762014989412,-0.004952948104107819,-0.009738428724059674,0.008516569675132708,0.0018345991814084882,-0.004822983921323228,0.00019667686298720927,0.027618211667336613,0.004680187767904356,-0.0007267428965198356,-0.007352706528878972,-0.029971964055728016,0.0016659213466724285,-0.0016918710989510697
3,2.25,0.01,100,1,300000.0,-0.014721189128282079,-0.02007744907285943,-0.02045717052657516,0.018866280353402543,-0.0034957003393823764,0.004843341433551046,-0.02089632914429697,0.00952825463983354,-0.0013925007443314286,0.0006332425838786356,0.018670213689069196,-0.0031207948413390155,0.0013421583135208026,-0.0003903750165549849,-0.013899169439019528,-0.0004747197566104533,-0.0028525490462239403,-0.004425808395162453,0.018076573208883916,-0.0038383917854232195,0.0038063379512942473,-0.0008974035626477658,0.005158950476305192,-0.019569299662895546,-0.0021999987216907626,0.0013996310104283068
4,2.25,0.01,100,1,300000.0,-0.017043684219252557,0.014635626951806313,-0.013263370629903105,-0.013170046360793924,0.001676242889953248,0.0027363706733844464,-0.0036621700767728686,-0.007593362363467873,-0.004726135026871392,0.0036924595292693813,0.016705305944513596,0.008044500011260593,-0.0009670491369598742,0.0034192627378867085,-0.01866262364306556,-0.018860199641838313,0.001216443837487916,-0.0016308539029246073,0.017891589938748842,0.01851038821465672,-0.0035008783370707166,0.002281170194898977,0.006561544215021246,0.01907207127752803,-0.004680810737116319,0.000334622448909536
5,2.25,0.01,100,1,300000.0,0.007743843782102494,-0.022316423213301205,-0.007255352633248568,-0.001958378787175804,-0.0018031828006690232,0.0017900141612027564,0.010611561116626755,-0.00774787192309024,-0.0033938507427310393,0.0005688448299854057,0.022386480934250948,0.010835247741871307,-0.000289798369654419,-0.0019228468728382177,-0.012380332743475782,-0.01770582017151605,-0.003966478315289457,0.0015761194961678151,0.0009716519021136898,0.022309244802773714,-0.0045336019925728745,0.0049854722016399395,-0.02021665777061504,-0.029585597827721997,0.003360189959384437,0.00028072658610081916
6,2.25,0.01,100,1,300000.0,0.024542149721067802,0.018095893457570726,-0.00478641104293856,0.006555000301558589,0.001941930274497663,-0.002057963650182234,0.020440067604997524,0.014705377101528784,-0.0018384671922848828,-0.0027321811452501233,-0.002666079111933624,0.023888124478814957,-0.004402703876982851,-0.0020038457733780844,0.004381775610865654,-0.00978739860862574,0.0019330016442772905,-0.002823623273631848,0.00947508915142109,0.017318024129667257,-0.0023374677404872602,0.004270679540559025,-0.022301249080080507,0.025101484730680093,-0.004174471879447758,-0.0017731234837005095
7,2.25,0.01,100,1,300000.0,0.003824398670122457,0.02772960327481732,0.01375272827007367,-0.008138983144398967,-0.004590139990384934,-0.004393229116077978,-0.011204321094718844,-0.020355602440362365,0.0018318376653118995,0.004716562624477563,0.0014634617871736866,-0.005386806143500022,-0.000732545121565442,0.0037100675982494986,0.02270826899780519,0.00746763440772949,0.002929614881470962,0.002445908788666154,0.016305631761605904,0.016799623970956322,0.0007595137862488836,-0.00022404327313454292,0.01014022705675173,0.014605239644033985,0.0006329672839849821,-7.712564960381339e-05
8,2.25,0.01,100,1,300000.0,0.025399875108760038,-0.013661432818954357,0.029616215128042273,0.014353572811342002,0.0032633081923847456,-0.004414703991423123,-0.021955347138116765,0.02217385385902347,-0.003576668908781291,0.0035947034238124906,0.026863883674968676,0.011967601109105573,-0.002447950254912168,-0.00037006594081045747,0.020965752709375084,0.009956391024269949,0.0023815903440364697,-0.003200262552410298,0.01048777015338117,0.02953231269203234,-0.00024157579976682216,-0.0020925979129587137,0.017550955172486976,-0.00017199618030906347,0.003786316722815598,0.004678686387131059
9,2.25,0.01,100,1,300000.0,-0.015544408698179,0.008832193521232642,-0.013291305169246533,0.01752648365935819,-0.0015480529837411249,-0.003585345758597265,0.024337656550300922,0.007598146576306447,-0.0018484974540308517,-0.001448834435999915,0.026444168495811396,0.011826698097716942,0.0025795283814235275,0.0034146628664217743,0.025674071832583238,0.012347655590026582,-0.0008580797037866881,-0.0031811243813225087,-0.012472869627944295,0.008262338675529307,-0.00340158963138411,0.0031445071119814627,0.002632731691210456,0.012045166845080196,0.00010845321472265773,0.003730164102606538
