,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,266.0,0.266,500.0,0.0372855627387025,0.0003085711168171,0.0002512950721451,1.3106614329328998e-05,7.154153595664861e-07,5719000000000.0,4048201887480.761,3351600000000.0,13.4100161905562,3.567064306687949,76691882593790.9,54286452853757.18,44945010264268.16,0.0001240972328024,8.784239413566836e-05,7.272675038653325e-05,6.939321283659166e-05,4.912007959143986e-05,4.066765031353744e-05
1,1,2.25,0.02,501,100000.0,17.15,2.43,0.81,,280.0,0.2799999999999999,501.0,0.0292549315487349,0.0004998484311784,0.0003342650260658,-8.902027111190929e-06,-1.0252489317555564e-05,6019999999999.999,4259613650660.052,3527999999999.9995,17.125317800364662,4.7950889841021045,103094413158195.23,72947237474324.88,60418121199686.52,0.0001308657624174,9.259760597966824e-05,7.669342355630019e-05,7.321269211338772e-05,5.180361839331527e-05,4.290604281993885e-05
2,2,2.25,0.02,502,100000.0,17.15,2.43,0.81,,324.0,0.3239999999999999,502.0,0.033632844189583,0.0005064488711874,0.0003816710005859,1.6579390226455167e-06,1.3990107935054838e-05,6961212264018.901,4927070495498.351,4082399999999.999,14.925886052642635,4.8359870810562136,103902261041004.6,73540892789145.88,60933437221308.28,0.0001516619457101,0.0001073446792968,8.894208417798956e-05,8.485355150248618e-05,6.005842289957418e-05,4.9762329536229314e-05
3,3,2.25,0.02,503,100000.0,17.15,2.43,0.81,,315.0,0.315,503.0,0.030884961908896,0.0003594154902212,0.000366691816114,-2.4970611890750216e-05,-9.694501204196607e-06,6762271474764.305,4788349495365.347,3969000000000.0,16.286243171798038,5.130166599116382,110131997631724.8,77984224273076.47,64640099148866.41,0.0001476211609215,0.0001045302179957,8.664372465435508e-05,8.261811796548535e-05,5.850170685166925e-05,4.8491296368198605e-05
4,4,2.25,0.02,504,100000.0,17.15,2.43,0.81,,255.0,0.255,504.0,0.0394001213094838,0.0003562354223343,0.0005084686679627,-1.6971790532351871e-06,1.0648653465715086e-05,5469707656111.458,3876000000000.001,3213000000000.0,12.7918387875289,3.261918890819869,69967618551890.336,49581167140462.016,41100178024330.35,0.0001196505626379,8.478800146957627e-05,7.028479069188559e-05,6.698023323728799e-05,4.746421570404274e-05,3.9345336702035424e-05
5,5,2.25,0.02,505,100000.0,17.15,2.43,0.81,,277.0,0.2769999999999999,505.0,0.032376192193567,0.0004225290462558,0.0002085448108793,-4.466179479883671e-06,3.5915803825413098e-06,5936702613732.136,4210400000000.0,3490200000000.0,15.59788121409598,4.320613096304586,92599982172407.0,65673319063829.72,54439725013437.79,0.0001301478256081,9.230282205361742e-05,7.651418143918286e-05,7.286684857164415e-05,5.167827987819322e-05,4.283857410955491e-05
6,6,2.25,0.02,506,100000.0,17.15,2.43,0.81,,275.0,0.2749999999999999,506.0,0.0220817516837428,0.0003145536842035,0.0003481081974268,2.382901894412078e-05,-2.223595808851798e-05,5888972334843.091,4180000000000.0,3465000000000.0,22.914848751448044,6.301583406648211,134944910354391.28,95784067781052.84,79399950923767.47,0.0001293332302674,9.180089016877948e-05,7.609810632411983e-05,7.244837963920428e-05,5.142395135737088e-05,4.2627749151504805e-05
7,7,2.25,0.02,507,100000.0,17.15,2.43,0.81,,304.0,0.304,507.0,0.0367445850433796,0.0005107192351632,0.0003611506982602,-5.992005839444425e-07,-2.551234117004047e-06,6504612088272.203,4620800000000.0,3830400000000.0,13.797951436965471,4.194577236837504,89750321710278.44,63757573999930.06,52851673184152.55,0.0001431361906936,0.0001016822680555,8.428924851975513e-05,8.020794008882962e-05,5.6978778216567206e-05,4.723240825847017e-05
8,8,2.25,0.02,508,100000.0,17.15,2.43,0.81,,263.0,0.263,508.0,0.0317281211272302,0.0003584815029354,0.0003596535868314,3.0280864729943007e-05,1.5559376603372698e-05,5622691635299.963,3997600000000.0,3313800000000.0,16.01103317662312,4.21090172545188,90025102314709.0,64005706226868.58,53057361740693.69,0.0001239824271876,8.814855643401822e-05,7.307051388609405e-05,6.94943288541244e-05,4.940881468283239e-05,4.0957306908137374e-05
9,9,2.25,0.02,509,100000.0,17.15,2.43,0.81,,269.0,0.269,509.0,0.0403625728052929,0.0003614440319963,0.000383131105284,-8.514743259460611e-06,2.50301844419007e-06,5746206110260.982,4088800000000.0,3389400000000.0,12.610692644777387,3.392276321445117,72463639130043.05,51562600085965.78,42742681650208.48,0.000126983504677,9.035703627068146e-05,7.4901227434907e-05,7.118652393360915e-05,5.0653849422488135e-05,4.198937517916781e-05
