Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.translationXerror,SU.translationYerror,M1.translationXerror,M1.translationYerror,M1.rotationXerror,M1.rotationYerror,M2.translationXerror,M2.translationYerror,M2.rotationXerror,M2.rotationYerror,PG.translationXerror,PG.translationYerror,PG.rotationXerror,PG.rotationYerror,M3.translationXerror,M3.translationYerror,M3.rotationXerror,M3.rotationYerror,M4.translationXerror,M4.translationYerror,M4.rotationXerror,M4.rotationYerror,M5.translationXerror,M5.translationYerror,M5.rotationXerror,M5.rotationYerror
0,2.25,0.01,100,1,300000.0,2.9486799130538552e-05,8.927244886837714e-05,0.00013528870148662173,-3.7473438409894974e-06,2.176702713968742e-05,2.9956458144654974e-05,2.3841526891002485e-05,0.00019659455151068193,-2.9613766461975935e-05,4.151540027345089e-05,-0.00028056816521563347,0.00016121103872723862,1.823287858969313e-06,-3.4997312819570734e-05,-7.899139036946211e-05,-7.69021569642979e-05,3.178315383244191e-05,-1.1617774725150623e-05,-0.00020479178805755016,0.00022904261143746868,-2.273309606150341e-05,-4.0371294442221944e-05,-0.00024162070937719182,-8.638658900540143e-05,-3.3981326650991194e-05,3.910396932361709e-05
1,2.25,0.01,100,1,300000.0,-0.00014340990521933373,-0.0001106388122109383,-2.055522768720764e-05,0.00022014275470576982,2.143992152171991e-05,-1.4133090506710113e-05,0.00010845262680082477,0.0002010664664007156,-3.6651034811270456e-05,-7.881077356325631e-06,-0.00014108501095553134,-0.0002444720080137912,2.1448347616264124e-05,3.433598046081053e-05,8.848738846386383e-05,0.00023430048304312867,-3.056713484540754e-05,-2.4967702478930355e-05,0.00022269785693275235,-5.6933371321031735e-05,-1.1014719950556908e-05,2.2784641510791832e-05,-0.00014908408516570946,0.00015596139265336624,-4.610610766142762e-05,-3.65632321997877e-05
2,2.25,0.01,100,1,300000.0,0.0001663477658201205,0.000253199737846624,0.00021651500932615017,0.00019114584552223094,-2.7657770986798414e-05,2.9878006480153038e-05,-0.00020529163861896898,-0.00015013817847699056,2.194267384438946e-05,-2.6021425745381722e-05,-0.00022186619644348543,-0.00028917975009541,-5.1335557896537204e-06,-2.6686030320563397e-06,-0.0002646170151801221,-0.00024009806931986582,1.4675524476354326e-05,3.796884920703589e-05,2.910430576430218e-05,0.0001589484757688357,-1.5025118329349919e-05,3.926729609698739e-05,0.00014700555676215392,0.00011387613046256236,3.2230926058371074e-05,-3.5105123298632504e-05
3,2.25,0.01,100,1,300000.0,-1.5753477742961805e-05,0.0001804720488573864,-0.0002104377732445497,-0.00011418814117842481,3.861902995935094e-05,-4.071461480628359e-05,-0.0001544879129643334,-0.00018405552480801966,1.4736738526313071e-05,7.651340191590174e-06,-0.00017939986998569748,5.1112732085902175e-06,-2.7018967778995696e-05,-2.896393260968495e-05,7.951681543424098e-05,0.00015631409762169795,-3.861254650509693e-06,3.7522900111447784e-05,0.00013547457597265175,-8.198513519156126e-05,3.0993176506862375e-05,9.229928005832033e-06,-3.2516943475567974e-05,-0.00029799875163255204,4.3366520953448726e-05,3.406281612784775e-05
4,2.25,0.01,100,1,300000.0,-0.0001696221195391543,-5.599326959227554e-06,-4.629378713537488e-05,0.0002531276950961731,4.295929864063005e-05,-1.5211689522026594e-06,0.00015483307519905727,-0.00017135326205107424,3.782131912474152e-05,1.456419278913978e-05,-0.00017995351956739714,0.00028802439144256223,9.03817292667781e-06,-3.483493671542372e-05,-0.0002326679357125992,-5.159610195484582e-05,-2.729433597296176e-05,7.15860125964317e-06,0.00012457999222028758,0.00013878132937421962,-2.22549080021729e-05,1.456279122805647e-05,-5.666911499088676e-05,3.5509074513760046e-05,3.2466662183985864e-06,-1.6113079364335592e-05
5,2.25,0.01,100,1,300000.0,1.781407453758303e-05,-9.948312571070089e-05,-0.0002569919429319589,-0.00022068729667092007,-4.753965372680761e-05,-5.485614665761959e-06,0.0002672854627390405,0.000213162381991703,3.072150037949507e-05,3.4168805193590645e-05,-0.00016091638120894222,-9.102430883167981e-05,-2.77938647888934e-05,4.571205180020954e-05,0.00013014429888924615,2.4480800142868584e-05,-4.758352960655322e-05,1.3647341747783928e-05,0.00028818383492765334,0.0002401919427945976,2.4639963013058402e-05,-2.818724882144743e-05,0.00020119506572058207,-0.00011867207036079345,-1.0182748468890732e-05,2.044399795492669e-05
6,2.25,0.01,100,1,300000.0,-0.0002877043307403589,2.9095804015838314e-05,-0.00023625177847717995,5.9714648698394905e-05,3.0403999051102432e-05,-4.445986339809609e-05,-0.00024878633637579427,7.032836175865562e-05,1.1354454382352402e-05,3.248997632154947e-05,0.00011056070393740744,-0.00018042109555510707,4.3818861757304235e-06,2.792014971413502e-05,-7.237471457197816e-05,-4.234528891521554e-05,-2.7103978476720094e-05,-4.123750941913219e-05,0.00021294361770794566,-0.00015621382513765446,-3.916596716978812e-05,-3.612975724934264e-05,0.00012959408765991022,-0.00018053092111450583,-3.213101350282471e-05,-6.883969628468264e-06
7,2.25,0.01,100,1,300000.0,-0.00014416976976774936,-0.00013290465850502187,-0.0001048153961390407,6.80906410485255e-05,4.705583273678752e-05,-4.222398476436862e-05,-0.0001894294225016674,-0.0001616570082542298,-1.0459703027967848e-05,4.115501132932786e-05,-0.0001380476641977901,-5.579575501020364e-05,-3.1999398505220105e-05,-3.0380038874342588e-05,0.00023597058259664975,0.0001653740096075284,-2.6615182690562312e-05,2.8071092932252825e-05,0.0002663104813583216,0.00014741674162661324,-2.4697696687898287e-05,-1.720129533072903e-05,0.0002894217847684931,-0.00015856407142240646,-3.270395264893358e-05,4.359419702884206e-06
8,2.25,0.01,100,1,300000.0,-0.00015147624031207923,-0.00019932861289554917,-0.0001447741157125051,-2.6706652799902335e-05,-3.5298722369148886e-05,5.107917139591754e-06,-0.00025282892329645017,-0.00024956684075087745,-2.0207551570126247e-05,-2.4395280211623696e-05,0.00025908924352477993,0.0002115180706662952,-1.5924270160463396e-05,-2.89978243075107e-05,0.0001183390206891891,-1.1277641156341202e-05,3.905104722900967e-05,5.95181755672414e-06,-6.30024081330291e-05,-0.000167989648465343,-1.730134620846198e-05,-6.885521073734548e-06,9.22626364359215e-05,-9.39502517058482e-05,-1.9096317233937004e-06,4.7152971759634165e-05
9,2.25,0.01,100,1,300000.0,0.00012716940809932576,-0.0002676718976894946,0.00013365238457120322,-0.0002131513271907958,9.868025086057886e-06,4.604632300105947e-05,-0.00012549341145282012,-0.00013206977579550752,2.253166809580326e-05,-2.93670846575966e-05,-5.095298158589687e-05,-0.00010936962947758966,3.176444829722674e-05,2.2147128944386198e-05,5.415584581798885e-05,7.776575947269831e-05,-3.390173236184595e-05,2.6364597455872414e-05,-2.6578619768389254e-05,-0.0001792064309536248,-4.845321755759656e-05,3.5839313928323536e-05,-0.00016181957338407257,-0.00018780978582252808,-3.1958273192687305e-05,3.938961277980741e-05
