Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.translationXerror,SU.translationYerror,M1.translationXerror,M1.translationYerror,M1.rotationXerror,M1.rotationYerror,M2.translationXerror,M2.translationYerror,M2.rotationXerror,M2.rotationYerror,PG.translationXerror,PG.translationYerror,PG.rotationXerror,PG.rotationYerror,M3.translationXerror,M3.translationYerror,M3.rotationXerror,M3.rotationYerror,M4.translationXerror,M4.translationYerror,M4.rotationXerror,M4.rotationYerror,M5.translationXerror,M5.translationYerror,M5.rotationXerror,M5.rotationYerror
0,2.25,0.01,100,1,300000.0,9.577551132555865e-05,0.0002758220841822139,0.00010573814296061256,5.9791219928161956e-05,4.475593528332206e-05,-2.9496986624087242e-05,-0.00020521075351705897,1.3729248407893136e-05,1.4058088504665185e-05,1.1196218437776343e-05,0.00010874820382111416,0.0002306643743123057,-2.3197886606552245e-05,4.8090164688312116e-05,-0.00020755951628466526,3.1019072337119336e-05,1.4355749523794498e-05,-2.198899802904883e-06,4.9736225453324886e-05,0.00016302749644953203,-1.0542794450276074e-05,-1.198755963351701e-05,-0.00024939338978406813,0.00015941497140587097,-4.376445414014915e-05,5.537462744841026e-06
1,2.25,0.01,100,1,300000.0,0.0001961756303432396,-0.000290526316665178,-0.00014858687390949035,-0.0001921285221888692,-1.2719861802485486e-05,1.305157446284993e-05,0.00025820860989668064,0.00010313497655595883,2.896326011032333e-05,4.184622806886737e-06,0.0002230092317693074,-0.00027960269801200404,7.85555834992873e-06,-4.84389966101999e-05,0.00012146087064732902,-9.654141114773794e-05,-2.401804628370096e-05,9.922929753011767e-06,-0.00016910265589529185,0.0001958128416223931,-2.16780475873408e-05,3.6057510833480873e-06,-0.00024126864095483665,0.00015848721341155407,-2.918271993217142e-05,-1.4546010381272101e-06
2,2.25,0.01,100,1,300000.0,0.00018926750305228816,-0.00012130087854431151,4.163118123660063e-05,0.00013859863807708079,-4.146256825078678e-05,-2.9228049572722428e-05,0.0002983052613487013,0.00029532652686344295,-1.3421961680639364e-05,4.703083378816474e-05,0.00016539210503400178,-0.0002027642931330844,-2.7263544710925193e-05,-1.2231539593377526e-05,-3.0279882799154117e-05,0.00025376141597605045,2.854339859186838e-05,-1.0230356225211603e-05,0.00017583371012651122,-3.246120257321657e-05,3.3045896406047826e-06,-4.823053399788888e-05,0.00017694671221365338,0.00026748496321108605,4.260170534563052e-05,-7.106226089145909e-07
3,2.25,0.01,100,1,300000.0,7.471751125002037e-06,-1.4692383510857309e-05,0.00016749345455431937,-4.877073125985308e-05,-3.198135100852232e-05,-2.958579177997658e-05,-0.00013706537797004558,-5.739572688448423e-05,2.5058731004036657e-06,-1.9635923673904755e-05,0.00017118219309561212,0.00011426456378234659,2.0388219432925317e-06,2.8776985200414783e-05,-0.00011075363303949217,-0.00023337907882317865,-2.2937532768432036e-05,4.438485299502046e-05,-3.923483653562611e-05,0.00018647902209658598,3.1081289403082305e-06,3.9970188313962126e-05,0.00017064451057699178,0.00018010249181344074,3.412790972616082e-05,-7.254022840672579e-06
4,2.25,0.01,100,1,300000.0,0.00017822039468170386,4.300477620500562e-05,-0.00026488417541476725,0.00022072953960241578,-3.147967988832396e-05,-4.595968949903362e-05,0.00023052545782979234,-0.0001468322317272652,-2.4950000030289576e-05,-2.5141769614933342e-05,-0.0001679610572544743,-0.0001498544778529479,-1.3064220115117779e-05,3.6462188582744036e-05,0.00012250370967150547,-3.1829334895498956e-05,1.1565297248531014e-05,-3.2934453684567243e-06,-9.713010760414376e-06,-6.605831934514389e-05,-2.611549773955747e-05,-2.974340216618158e-05,0.00020627854141295332,1.8565529479382603e-05,4.957565014871399e-05,2.4492891585152728e-05
5,2.25,0.01,100,1,300000.0,-0.0001813399700570189,0.0002936127958639324,0.0001525931601485069,4.626263825040027e-06,-2.24442915081024e-05,-4.7431154054148683e-05,-0.00014668623327162674,0.00013224848397969406,-3.276090520361021e-05,-1.9675543768967707e-05,0.00012652725680094832,0.00015351912008677377,1.2937525914944266e-05,1.8872489493041178e-05,-1.321139922668633e-05,-0.0001515341863404944,4.793026739209145e-05,-3.3760979927611876e-05,-0.0002328223713086598,2.2733258852492542e-05,2.0284165395543355e-06,3.762575720587161e-05,0.00015279643745780004,0.00014106532427869537,-7.195685920561223e-06,-3.692906610643717e-05
6,2.25,0.01,100,1,300000.0,2.319682390890124e-05,-0.00022846662561659876,0.0001793020286246865,-0.00014679368915916841,3.366715956227101e-05,4.127503456670309e-05,-0.0002865495337982888,0.00019660110845031662,-4.7188800158993374e-05,2.3458657207748453e-05,1.3329237641793526e-05,5.669566610304078e-05,2.0210896166671475e-05,1.004439922330015e-05,-3.073161919167508e-05,0.00025657276481216195,1.042842285512402e-05,-3.827757972125355e-05,-0.00029265022916108197,0.0002944622332484189,1.6283643019892513e-05,-2.3710469997823793e-05,0.00027718443794060634,1.5676313467291082e-05,-2.717433043790185e-05,-3.951988347819069e-05
7,2.25,0.01,100,1,300000.0,-0.00012253017968377768,0.00022322435449984712,-5.7813430157056686e-05,-0.0001739027480130414,-1.2911115913078356e-05,1.338402815406986e-07,2.6194459742596423e-05,0.00020331016456160057,1.559857127266729e-05,-1.5958554644584444e-05,-5.246494593849952e-05,-9.304374556743449e-05,-2.7750188050499502e-05,2.5789884038209634e-05,0.0001235957355274385,8.311512780630881e-05,-1.4710960000636575e-05,4.208212726881601e-05,-5.946864835911842e-05,9.188527911179975e-05,-4.419400732011062e-05,1.686529319632101e-05,-0.00016325012796384778,0.0001444395614274558,4.924701915879127e-05,-3.176248218498076e-05
8,2.25,0.01,100,1,300000.0,0.00022069829990511303,-0.0002603647049745655,-0.0001976749480832635,0.00017863865212244768,4.23045798335789e-05,-4.7579341186215795e-05,2.4839000786883278e-05,-4.676067549039113e-05,-3.14931808486307e-05,-2.019541741310331e-05,-0.00022872059372475926,-0.00012037720224198327,3.962734081980139e-05,-4.589483231762918e-05,0.0001820583545548054,-0.00023527559784097699,-4.421464000613066e-05,-2.7459491922612202e-05,-3.160044147758551e-05,0.00011623479779497597,-9.494934464913531e-06,1.1592318901386228e-05,6.018828572573016e-06,-2.4751055158731038e-05,4.976688431613798e-05,-1.5643521637313604e-05
9,2.25,0.01,100,1,300000.0,0.00012880417042973602,0.00021391112145996432,-0.0002463654488183658,6.374203694099214e-05,3.073103685428634e-05,1.8594787969542044e-05,-2.790936828140218e-05,-9.973472376246752e-05,3.0417687051845873e-05,4.4622184135152994e-05,-0.00022457794733770763,2.1956969462280803e-06,-4.5417760941100985e-05,-4.919958815339042e-05,0.00010839336843827081,-4.902075630178155e-05,-4.1752843945428206e-05,-1.6979336689866486e-06,4.2024236866585905e-06,6.783500579200357e-05,-4.2650886254330204e-05,6.270489340193697e-06,0.000107731266078946,0.00018540598966530503,1.7040223182582244e-05,-4.111413197798994e-05
